fm_id,fm_name
10795,Sterling Investment Partners
6634,Parthenon Capital Partners
16640,Twin Brook Capital Partners
15994,C5 Capital
18017,Hyperplane Venture Capital
13758,Collaborative Fund
12272,Learn Capital
20427,Idealab NY
18588,Monogram Capital Partners
11805,Stripes
20436,Karmel Capital
20438,Royalty Lending Financial Services
20205,3Spoke
20441,Full In Partners
12208,TriplePoint Capital
976,Jefferies Private Capital Group
16825,50 South Capital
7079,Morgan Stanley Capital Partners
12556,Three Valley Copper
19681,Alpha Edison
13465,Wazee Street Capital Management
8163,Palm Beach Capital
1952,BMO Global Asset Management
20457,Goodyear Ventures
20458,Mantra Capital
17700,Liquid 2 Ventures
4297,abrdn
20465,Fathom Capital
20471,Granville Capital
1013,Portfolio Advisors
16813,CIFC
18559,Mirabaud Asset Management
16269,Frontier Growth
20482,415 CAPITAL
16853,Newark Venture Partners
6547,Intermediate Capital Group
16907,Cordillera Investment Partners
12929,Round13 Capital
20522,Hunniwell Lake Ventures
19873,Ericsenz Capital
15318,North Coast Venture
18664,Active Capital
12574,Oak Hill Advisors
20536,&vest
16597,Finistere Ventures
18228,122 West Ventures
20549,Footbridge Partners
20560,Cobro Ventures
6350,Abbott Capital Management
20562,Sortis
20572,Rising Tide
19144,Blu Family Office
13357,ff Venture Capital
17810,Operand Group
6637,Peninsula Capital Partners
12358,Altaris Capital Partners
9432,Czech Asset Management
18085,Lateral Investment Management
7232,Sorenson
20582,Team8
2043,Performance Equity Management
8508,Da Vinci Capital Management
18676,Valuestream Ventures
20587,Galvanized Holdings
20589,LifeSci Capital
10880,RPM Ventures
12129,Victory Park Capital
7765,Centerbridge Partners
15752,New Science Ventures
18350,InTandem Capital Partners
17769,TRP Capital Partners
6359,Adams Street Partners
10222,Khosla Ventures
6761,Endeavour Capital
14438,Pharmakon Advisors
19259,Phyto Partners
20607,MINDSHIFT Capital
16776,Tola Capital
20612,Servco Pacific Capital
10782,Altos Ventures
12886,Claritas Capital
8397,VÃ¤rde Partners
17759,Marblegate Asset Management
11875,TZP Group
6712,TPE Boulder
20621,Evolution
18415,Motive Partners
18476,Wonder Ventures
14648,Miramar Venture Partners
2838,Hirtle Callaghan & Co.
13217,Asset Management Ventures
14946,Progress Ventures
20638,Argon Ventures
18631,Glendower Capital
12191,NXT Capital
15993,Frontline
20659,Indigo Global Advisors
20660,XRC Labs
6610,New Enterprise Associates
17611,Glasswing Ventures
20672,Environmental Commodity Partners
2011,WP Global Partners
5687,JP Morgan Asset Management
914,Commonfund Capital
20714,Longley Capital
6608,Nautic Partners
11425,The Blue Venture Fund
15740,Think+ Ventures
14014,RiverRock Funds
20735,Cold Bore Capital
20736,Statera Capital
6517,Gryphon Investors
20749,STORY3 Capital Partners
8985,IA Capital Group
17763,CoVenture
8174,TSG Consumer Partners
6523,HarbourVest Partners
19866,Fin Venture Capital
19909,Emergent Ventures
8032,Morgan Stanley Alternative Investment Partners
20759,Summit Peak Investments
19418,McGinty Road Partners
16760,Next Frontier Capital
20765,Tomales Bay Capital
20141,Hildred Capital Partners
17668,Savano Capital Partners
18732,Village Global
17837,Acorn Growth Companies
2790,Accolade Partners
20770,Navigate Ventures
1722,Franklin Park
18757,Blue Scorpion Investments
13444,FundersClub
12424,Courage Capital Management
1005,Pantheon
20784,Aviv Growth Partners
17685,SaaStr
15416,Nyca Partners
18563,Orthogon Partners
17042,H.I.G. WhiteHorse
20792,Silverfern Group
6884,AllegisCyber Capital
20804,ETA Equity Management
3479,Homrich Berg
6621,Northstar Capital
6644,Pomona Capital
20807,Willow Growth Partners
20797,Teng Yue Partners
13480,Mucker Capital
20812,Creacion Ventures
17109,Anthemis
16152,H. Barton Asset Management
20819,ACE & Company - DELETE
9033,Housatonic Partners
20822,Harmonic Growth Partners
20832,Greenridge Growth Partners
7847,TowerBrook Capital Partners
17284,True Wind Capital
20838,Private Debt Partners
2138,Bow River Capital
15020,Blue Heron Capital
19429,AXA Venture Partners
13675,Farol Asset Management
20845,9Yards Capital
18127,FinTech Collective
20855,Ono Venture Investment
20856,Lightspring Capital Partners
14134,Merced Capital
20858,New Frontier Capital Management
14372,G20 Ventures
16184,O'Brien-Staley Partners
15821,Convergent Capital
17861,Gemspring Capital
16065,Atlas Peak Capital
14447,Artesian
13375,SSM Partners
12980,Fundamental Advisors
20857,Graham Allen Partners
20878,Sidereal Capital Group
7170,Dubin Clark & Company
20359,Lighthouse Finance
5646,Onex
20880,Forage Capital Partners
16811,Blockchain Capital
10916,NGN Capital
10820,Linden Capital Partners
17675,Talara Capital Management
3944,Brown Advisory
19631,Stronghold Resource Partners
17269,Argand Partners
17474,Innovatus Capital Partners
18030,NextGen Growth Partners
20888,Long Arc Capital
20890,Radial Equity Partners
17059,Bold Capital Partners
20851,Twist Capital
20729,Alta Park Capital
6550,Invesco Private Capital
8397,Värde Partners
20895,Pawson Capital Management
20900,Eagle Point Credit Management
20901,Frazier Group
20434,R7 Partners
20908,Corner Ventures
20914,ethos
20918,Giant Ventures
1337,Blue Owl Capital
5612,TIFF Investment Management
19254,Turning Rock Partners
18016,Middleland Capital
16107,Waterline Ventures
20069,Hudson Structured Capital Management
20929,UnionRock Partners
20885,Rhia Ventures
20930,CompanyFirst Capital
20931,Amberstone Ventures
20935,Periphas Capital
19596,Twenty Two Ventures
20940,Veteran Ventures Capital
20432,Endicott Growth Equity Partners
20941,Evergreen Gavekal
20942,Green Egg Ventures
20181,Good Growth Capital
20946,Castle Island Ventures
17218,SOSV
8361,Upfront Ventures
19592,Durational Capital Management
6643,Polaris Partners
902,Capital Z Partners
19799,Recurring Capital Partners
20774,3L
20951,Kubera Venture Capital
1757,RWB PrivateCapital Emissionshaus AG
18241,Tech Square Ventures
7047,Headline
3659,Klingenstein Fields Wealth Advisors
6524,Harvest Partners
15736,ICONIQ Capital
20957,RTC Partners
6656,Redpoint China Ventures
6536,Horsley Bridge Partners
16009,Perry Creek Capital
20964,Biospring Partners
1333,Golding Capital Partners
6748,WL Ross & Co.
19466,Victress Capital
17559,Sands Capital
20973,Wilshire Lane Capital
20979,Westlake Village Biopartners
20980,TechFarms Capital
20981,The Mendota Group
17132,Sanne Group
20987,Fundamental Global
20988,Primark Capital
20776,Bayshore Capital Advisors
3155,SEI Investments
20166,Manhattan Venture Partners
20999,Alta Resources
21000,Big Basin Capital
19508,Valley Forge Private Equity
21004,MatterScale Ventures
21005,Third Craft
21006,GreenPoint Partners
9333,Crestline Investors
15521,Cloud Equity Group
21010,SQN Venture Partners
21011,SpringRock Ventures
8336,TCW Group
18311,Reciprocal Ventures
8019,Fort Washington Capital Partners Group
16997,SignalFire
21017,Venturi Private Wealth
8437,Kinetic Ventures
17123,Kain Capital
15517,Mosaik Partners
7855,Stonehenge Capital
21018,Huck Capital
17113,AutoTech Ventures
17975,Boyne Capital
13004,SV Angel
21023,ISA Ventures
20727,Third Lake Partners
21027,Prudence Holdings
8272,GEF Capital Partners
14108,BootstrapLabs
17035,Pipeline Capital Partners
7015,Ignition Partners
21042,MKH Capital Partners
13489,Magnetar Capital
21046,iTech Capital
1352,Greywolf Capital Management
19074,Pacific Private Fund Advisors
10995,Castlelake
13351,Enlightenment Capital
10845,Rizvi Traverse Management
21054,Aegis Capital Corp.
5587,Landmark Partners
11412,Peterson Partners
21056,Hack VC
8364,Argosy Capital
21060,Stride Funding
21062,Joseph Gunnar & Company
21067,Metrodora Ventures
8399,Carousel Capital
21074,Nut Tree Capital Management
16550,PennantPark
6400,Berkshire Partners
21080,VT Capital
18481,MetaProp
18875,Black Bay Energy Capital
21081,Wunala Capital
8706,Clearlake Capital Group
21083,Flexis Capital
6579,Littlejohn & Co
12829,New Canaan Funding
12079,Mercato Partners
15468,Lotus Innovations
5903,Brookfield Asset Management
19700,JW Levin Management Partners
