fm_fund_history_id ,fm_id,fund_id,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
9623,6635,37545,2016,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,432660000.0,USD,0.0,USD
3150,6635,37545,2016,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,432660000.0,USD,0.0,USD
15489,6635,37545,2016,Latin America,Diversified,Fund of Funds / Co-Investment,432660000.0,USD,0.0,USD
8889,6635,37545,2016,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,432660000.0,USD,0.0,USD
25165,6635,37545,2016,North America,Diversified,Fund of Funds / Co-Investment,432660000.0,USD,0.0,USD
21815,6635,37545,2016,Western Europe,Diversified,Fund of Funds / Co-Investment,432660000.0,USD,0.0,USD
8425,6635,37568,2017,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,288560000.0,USD,300000000.0,USD
29994,6635,37568,2017,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,288560000.0,USD,300000000.0,USD
25153,6635,37568,2017,Latin America,Diversified,Fund of Funds / Co-Investment,288560000.0,USD,300000000.0,USD
26677,6635,37568,2017,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,288560000.0,USD,300000000.0,USD
17625,6635,37568,2017,North America,Diversified,Fund of Funds / Co-Investment,288560000.0,USD,300000000.0,USD
3964,6635,37568,2017,Western Europe,Diversified,Fund of Funds / Co-Investment,288560000.0,USD,300000000.0,USD
26362,6635,39176,2017,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,150510000.0,USD,0.0,USD
6802,6635,39176,2017,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,150510000.0,USD,0.0,USD
11311,6635,39176,2017,Latin America,Diversified,Fund of Funds / Co-Investment,150510000.0,USD,0.0,USD
18997,6635,39176,2017,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,150510000.0,USD,0.0,USD
26676,6635,39176,2017,North America,Diversified,Fund of Funds / Co-Investment,150510000.0,USD,0.0,USD
30559,6635,39176,2017,Western Europe,Diversified,Fund of Funds / Co-Investment,150510000.0,USD,0.0,USD
1406,6635,41228,2016,Asia-Pacific,Diversified,Secondaries,100500000.0,USD,0.0,USD
25296,6635,41228,2016,Central/Eastern Europe,Diversified,Secondaries,100500000.0,USD,0.0,USD
29657,6635,41228,2016,Latin America,Diversified,Secondaries,100500000.0,USD,0.0,USD
26719,6635,41228,2016,Middle East/Africa,Diversified,Secondaries,100500000.0,USD,0.0,USD
11837,6635,41228,2016,North America,Diversified,Secondaries,100500000.0,USD,0.0,USD
4666,6635,41228,2016,Western Europe,Diversified,Secondaries,100500000.0,USD,0.0,USD
18692,6635,41811,2018,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,822600000.0,USD,321010000.0,USD
23796,6635,41811,2018,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,822600000.0,USD,321010000.0,USD
14244,6635,41811,2018,Latin America,Diversified,Fund of Funds / Co-Investment,822600000.0,USD,321010000.0,USD
19660,6635,41811,2018,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,822600000.0,USD,321010000.0,USD
8544,6635,41811,2018,North America,Diversified,Fund of Funds / Co-Investment,822600000.0,USD,321010000.0,USD
28813,6635,41811,2018,Western Europe,Diversified,Fund of Funds / Co-Investment,822600000.0,USD,321010000.0,USD
30306,6635,37538,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,798460000.0,USD,0.0,USD
7869,6635,37538,2007,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,798460000.0,USD,0.0,USD
3291,6635,37538,2007,Latin America,Diversified,Fund of Funds / Co-Investment,798460000.0,USD,0.0,USD
