fm_fund_history_id ,fm_id,fund_id,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
27711,6635,37516,2000,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,569210000.0,USD,0.0,USD
11320,6635,37516,2000,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,569210000.0,USD,0.0,USD
22348,6635,37516,2000,Latin America,Diversified,Fund of Funds / Co-Investment,569210000.0,USD,0.0,USD
17672,6635,37516,2000,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,569210000.0,USD,0.0,USD
8573,6635,37516,2000,North America,Diversified,Fund of Funds / Co-Investment,569210000.0,USD,0.0,USD
27915,6635,37516,2000,Western Europe,Diversified,Fund of Funds / Co-Investment,569210000.0,USD,0.0,USD
10945,6635,37517,2003,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,126080000.0,USD,0.0,USD
23702,6635,37517,2003,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,126080000.0,USD,0.0,USD
19955,6635,37517,2003,Latin America,Diversified,Fund of Funds / Co-Investment,126080000.0,USD,0.0,USD
7005,6635,37517,2003,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,126080000.0,USD,0.0,USD
23739,6635,37517,2003,North America,Diversified,Fund of Funds / Co-Investment,126080000.0,USD,0.0,USD
12307,6635,37517,2003,Western Europe,Diversified,Fund of Funds / Co-Investment,126080000.0,USD,0.0,USD
25336,6635,37518,2004,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,150750000.0,USD,0.0,USD
20083,6635,37518,2004,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,150750000.0,USD,0.0,USD
11028,6635,37518,2004,Latin America,Diversified,Fund of Funds / Co-Investment,150750000.0,USD,0.0,USD
12600,6635,37518,2004,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,150750000.0,USD,0.0,USD
3177,6635,37518,2004,North America,Diversified,Fund of Funds / Co-Investment,150750000.0,USD,0.0,USD
17434,6635,37518,2004,Western Europe,Diversified,Fund of Funds / Co-Investment,150750000.0,USD,0.0,USD
913,6635,16200,2001,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,251250000.0,USD,0.0,USD
15999,6635,16200,2001,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,251250000.0,USD,0.0,USD
29821,6635,16200,2001,Latin America,Diversified,Fund of Funds / Co-Investment,251250000.0,USD,0.0,USD
24684,6635,16200,2001,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,251250000.0,USD,0.0,USD
11892,6635,16200,2001,North America,Diversified,Fund of Funds / Co-Investment,251250000.0,USD,0.0,USD
24815,6635,16200,2001,Western Europe,Diversified,Fund of Funds / Co-Investment,251250000.0,USD,0.0,USD
8285,6635,16263,2003,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,502250000.0,USD,0.0,USD
28468,6635,16263,2003,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,502250000.0,USD,0.0,USD
11658,6635,16263,2003,Latin America,Diversified,Fund of Funds / Co-Investment,502250000.0,USD,0.0,USD
1890,6635,16263,2003,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,502250000.0,USD,0.0,USD
29868,6635,16263,2003,North America,Diversified,Fund of Funds / Co-Investment,502250000.0,USD,0.0,USD
