lp_id,lp_name,cmmt_in_vc_funds,total_cmmt_in_vc_funds,limited_partner_type,AUM,affliated_funds_num,affliated_investors_num,commitments,total_cmmt,hq_location,hq_region
163,Oregon Investment Council,5.0,30.0,Public Pension Fund,"2,800.00",5.0,3.0,5.0,187,"Salem, OR",Oregon
164,Physicians Life Insurance Company,5.0,5.0,Insurance Company,"1,731.90",5.0,1.0,5.0,5,"Omaha, NE",Nebraska
165,Physicians Mutual Insurance Company,5.0,5.0,Insurance Company,"2,672.36",5.0,1.0,5.0,5,"Omaha, NE",Nebraska
166,Princeton University Investment Company,5.0,32.0,Endowment,"37,200.00",5.0,4.0,5.0,64,"Princeton, NJ",New Jersey
167,Propel Capital Network,3.0,3.0,Direct Investment,,5.0,3.0,5.0,8,"Brooklyn, NY",New York
168,Royal Bank of Canada (TSE: RY),4.0,9.0,Banking Institution,"807,245.69",5.0,5.0,5.0,11,"Toromo, Canada",Canada
169,Ruth Mott Foundation,2.0,6.0,Foundation,249.18,5.0,3.0,5.0,17,"Flint, Ml",Michigan
170,State of Wisconsin Investment Board,3.0,39.0,Public Pension Fund,"165,700.00",5.0,5.0,5.0,654,"Madison, WI",Wisconsin
171,Surdna Foundation,4.0,40.0,Foundation,961.21,5.0,4.0,5.0,154,"New York, NY",New York
172,Teachers' Retirement System of Louisiana,1.0,12.0,Public Pension Fund,"27,000.00",5.0,2.0,5.0,327,"Baton Rouge, LA",Louisiana
173,The Skell Foundation,3.0,32.0,Foundation,649.01,5.0,4.0,5.0,122,"Palo Alto, CA",California
174,TIFF Investment Management,5.0,79.0,Fund of Funds,"1,573.53",5.0,3.0,5.0,309,"Boston, MA",Massachusetts
175,Utah Capital Investment,5.0,19.0,Fund of Funds,0.26,5.0,5.0,5.0,27,"Salt lake City, UT",Utah
176,Vulcan Materials Master Pension Trust Fund,2.0,25.0,Corporate Pension,835.28,5.0,3.0,5.0,41,"Birmingham, AL",Alabama
177,Weeden Foundation,4.0,6.0,Foundation,27.07,5.0,2.0,5.0,10,"Bedford Hills, NY",New York
178,West Midlands Pension Fund,2.0,54.0,Public Pension Fund,"24,545.68",5.0,3.0,5.0,312,"Wolverhampton, United Kingdom",UnitedKingdom
179,3M Employee Retirement Income Plan,4.0,29.0,Corporate Pension,"17,979.68",4.0,3.0,4.0,214,"Saint Paul, MN",Minnesota
180,Affiliated Pension Plan,,,Corporate Pension,75.19,4.0,1.0,4.0,11,"Dallas, TX",Texas
181,AP Fonden 3,1.0,34.0,Public Pension Fund,"52,394.83",4.0,3.0,4.0,218,"Stockholm, Sweden",Sweden
182,Apple (NAS: AAPL),3.0,3.0,Corporation,"190,516.00",4.0,3.0,4.0,5,"Cupertino, CA",California
183,Arkansas Development Finance Authority,4.0,7.0,Economic Development Agency,319.64,4.0,4.0,4.0,9,"little Rock, AR",Arkansas
184,Arkansas Teacher Retirement System,1.0,31.0,Public Pension Fund,"21,200.00",4.0,3.0,4.0,238,"little Rock, AR",Arkansas
185,Beacon Aviation Insurance Services,,,Insurance Company,,4.0,1.0,4.0,5,"Sarasota, FL",Florida
186,Blue Cross and Blue Shield of North Carolina,4.0,12.0,Insurance Company,"6,955.83",4.0,3.0,4.0,26,"Durham, NC",NorthCarolina
187,Caterpillar Ventures,4.0,5.0,Direct Investment,,4.0,2.0,4.0,5,"San Francisco, CA",California
188,Charter Township of Shelby Fire & Police Retirement System,,,Public Pension Fund,129.5,4.0,2.0,4.0,12,"Shelby, Ml",Michigan
189,Cintrifuse,4.0,25.0,Fund of Funds,140.28,4.0,4.0,4.0,26,"Cincinnati, OH",Ohio
190,Clwyd Pension Fund,3.0,12.0,Public Pension Fund,"2,917.42",4.0,3.0,5.0,182,"Flintshire, United Kingdom",UnitedKingdom
191,Cox Enterprises,4.0,4.0,Corporation,,4.0,2.0,4.0,4,"Atlanta, GA",Georgia
192,Duke Management Company,4.0,41.0,Endowment,"8,500.00",4.0,2.0,4.0,54,"Durham, NC",NorthCarolina
193,Finnish Fund for Industrial Cooperation,1.0,5.0,Economic Development Agency,793.45,4.0,3.0,4.0,51,"Helsinki, Finland",Finland
194,Florida State Board of Administration,1.0,39.0,Public Pension Fund,"251,678.91",4.0,3.0,4.0,595,"Tallahassee, FL",Florida
195,Fondo de Fondos,1.0,3.0,Fund of Funds,627.6,4.0,2.0,4.0,10,"Benito Juarez, Mexico",Mexico
196,General Electric Pension Trust,2.0,43.0,Corporate Pension,"51,564.66",4.0,4.0,4.0,411,"Boston, MA",Massachusetts
197,General Mills Group Trust - Pooled Private Equity Fund,4.0,38.0,Corporate Pension,444.68,4.0,2.0,4.0,202,"Minneapolis, MN",Minnesota
198,Greenspring Associates,3.0,29.0,Fund of Funds,"22,000.00",4.0,4.0,4.0,31,"Owings Mills, MD",Maryland
199,Hallador Investment Advisors,4.0,4.0,Investment Advisor,282.07,4.0,2.0,4.0,9,"Reno, NV",Nevada
200,Headlands Capital,3.0,31.0,Fund of Funds,761,4.0,3.0,4.0,63,"San Francisco, CA",California
201,HP Inc. Master Trust,3.0,153.0,Corporate Pension,"11,777.65",4.0,3.0,4.0,367,"Spring, TX",Texas
202,John Deere Pension Plan For Salaried Employees,4.0,22.0,Corporate Pension,"8,853.60",4.0,1.0,4.0,66,"Moline, IL",Illinois
203,John Hancock Variable Life Insurance Company,4.0,5.0,Insurance Company,,4.0,1.0,4.0,14,"Boston, MA",Massachusetts
204,John S. and James L. Knight Foundation,3.0,91.0,Foundation,"2,095.41",4.0,3.0,4.0,273,"Miami, FL",Florida
205,Kleiner Perkins,4.0,8.0,Direct Investment,"11,084.69",4.0,4.0,4.0,8,"Menlo Park, CA",California
206,MailChimp,4.0,4.0,Corporation,,4.0,3.0,4.0,4,"Atlanta, GA",Georgia
207,Maryland State Retirement and Pension System,1.0,37.0,Public Pension Fund,"68,500.00",4.0,4.0,4.0,435,"Baltimore, MO",Missouri
208,Microsoft (NAS: MSFT),3.0,6.0,Corporation,"132,363.00",4.0,3.0,4.0,8,"Redmond, WA",Washington
209,Morgan Stanley (NYS: MS),1.0,3.0,Banking Institution,"1,600,000.00",4.0,3.0,4.0,11,"New York, NY",New York
210,Mull Capital,4.0,4.0,Private Investment Fund,,4.0,2.0,4.0,4,"Santa Monica, CA",California
211,National Life Insurance Company,2.0,3.0,Insurance Company,"7,847.64",4.0,3.0,4.0,80,"Montpelier, VT",Vermont
212,Nebraska Investment Council,1.0,4.0,Public Pension Fund,"33,978.59",4.0,3.0,4.0,125,"Lincoln, NE",Nebraska
213,New Enterprise Associates,4.0,8.0,Direct Investment,"25,000.00",4.0,3.0,4.0,10,"Lutherville-Timonium, MO",Missouri
214,New York City Public Pension Funds,4.0,29.0,Public Pension Fund,"270,690.00",4.0,4.0,5.0,221,"New York, NY",New York
215,New York Life Insurance Company,2.0,18.0,Insurance Company,"572,000.00",4.0,3.0,4.0,353,"New York, NY",New York
216,Oregon Growth Account,4.0,5.0,Economic Development Agency,,4.0,4.0,4.0,6,"Salem, OR",Oregon
217,Oregon Public Employees Retirement System,2.0,65.0,Public Pension Fund,"101,329.64",4.0,3.0,4.0,629,"Tigard, OR",Oregon
218,OXY MRT Consolidated,,,Corporate Pension,397.03,4.0,1.0,4.0,4,"Houston, TX",Texas
219,Pacific Life Insurance,2.0,21.0,Insurance Company,"77,969.41",4.0,3.0,4.0,174,"Newport Beach, CA",California
220,PayPal Holdings (NAS: PYPL),4.0,10.0,Corporation,"19,363.00",4.0,4.0,4.0,12,"Sanjose, CA",California
221,Pennsylvania Department of Community and Economic Development,4.0,6.0,Economic Development Agency,"1,600.00",4.0,3.0,4.0,6,"Harrisburg, PA",Pennsylvania
222,Petro-Hunt Welfare Benefits Plan,,,Corporate Pension,,4.0,1.0,4.0,33,"Dallas, TX",Texas
223,Pfizer (NYS: PFE),4.0,11.0,Corporation,"181,476.00",4.0,2.0,4.0,13,"New York, NY",New York
224,PineBridge Investments,1.0,4.0,Fund of Funds,"148,700.00",4.0,4.0,4.0,84,"New York, NY",New York
225,Plexo Capital,4.0,7.0,Direct Investment,42.5,4.0,4.0,4.0,7,"San Francisco, CA",California
226,PNC Erieview Capital,4.0,5.0,Direct Investment,,4.0,3.0,4.0,18,"Cleveland, OH",Ohio
227,PPL Services Corporation Master Trust,4.0,5.0,Corporate Pension,"3,651.97",4.0,2.0,4.0,11,"Allentown, PA",Pennsylvania
228,Proparco,1.0,13.0,Fund of Funds,"5,939.13",4.0,4.0,4.0,79,"Paris, France",France
229,Red Devil Investors,4.0,10.0,Private Investment Fund,,4.0,5.0,4.0,10,"Hinsdale, IL",Illinois
230,Reiman Foundation,1.0,10.0,Foundation,72.06,4.0,3.0,4.0,64,"Pewaukee, WI",Wisconsin
231,Rockefeller Brothers Fund,1.0,10.0,Foundation,"1,440.52",4.0,4.0,4.0,64,"New York, NY",New York
232,Roy A. Hunt Foundation,4.0,6.0,Foundation,80.36,4.0,4.0,4.0,14,"Pittsburgh, PA",Pennsylvania
233,RWB Private Capital Emissionshaus,4.0,24.0,Fund of Funds,"2,199.68",4.0,3.0,4.0,84,"Oberhaching, Germany",Germany
234,Science Futures,4.0,4.0,Fund of Funds,300,4.0,1.0,4.0,4,"Woodside, CA",California
235,Service Life & Casualty Insurance Company,,,Insurance Company,,4.0,1.0,4.0,4,"Austin, TX",Texas
236,Service Lloyds Insurance Company,,,Insurance Company,294.36,4.0,1.0,4.0,4,"Austin, TX",Texas
237,Seven Hound Ventures,4.0,6.0,Fund of Funds,,4.0,2.0,4.0,6,"Los Angeles, CA",California
238,Sorenson Impact Foundation,4.0,10.0,Foundation,157.2,4.0,4.0,4.0,10,"Salt Lake City, UT",Utah
239,South Yorkshire Pensions Authority,,19.0,Public Pension Fund,"13,930.13",4.0,2.0,4.0,212,"Barnsley, United Kingdom",UnitedKingdom
240,Teachers Retirement System of the State of Illinois,1.0,53.0,Public Pension Fund,"63,900.00",4.0,2.0,4.0,511,"Springfield, IL",Illinois
241,The Cleveland Foundation,4.0,8.0,Foundation,"2,829.10",4.0,3.0,4.0,32,"Cleveland, OH",Ohio
242,The Nemours Foundation Pension Plan,,,Corporate Pension,624.67,4.0,2.0,4.0,118,"Jacksonville, FL",Florida
243,The Ohio State University Endowment,4.0,7.0,Endowment,"6,800.00",4.0,1.0,4.0,18,"Columbus, OH",Ohio
244,The Walt Disney Company Retirement Plan Master Trust,4.0,32.0,Corporate Pension,"15,574.35",4.0,3.0,4.0,160,"Burbank, CA",California
