lp_id,lp_name,cmmt_in_vc_funds,total_cmmt_in_vc_funds,limited_partner_type,AUM,affliated_funds_num,affliated_investors_num,commitments,total_cmmt,hq_location,hq_region
413,Calvert Impact Capital,1.0,1.0,Foundation,675.6,2.0,2.0,2.0,10,"Bethesda, MD",Maryland
414,Cambridge Associates,2.0,6.0,Money Management Firm,"351,000.00",2.0,2.0,2.0,8,"Boston, MA",Massachusetts
415,Campbell Soup (NYS: CPB),2.0,2.0,Corporation,"12,498.00",2.0,1.0,2.0,2,"Camden, NJ",New Jersey
416,Canterbury Consulting,2.0,2.0,Investment Advisor,"5,139.51",2.0,1.0,2.0,2,"Newport Beach, CA",California
417,Capricorn Investment Group,,,Money Management Firm,"10,000.00",2.0,2.0,2.0,3,"Palo Alto, CA",California
418,Carnegie Mellon University Endowment,2.0,8.0,Endowment,"2,002.30",2.0,2.0,2.0,12,"Pittsburgh, PA",Pennsylvania
419,Carpenter Co. Profit-Sharing Plan,2.0,6.0,Corporate Pension,293.73,2.0,1.0,2.0,27,"Richmond, VA",Virginia
420,Carpenters Labor-Management Pension Plan,,,Union Pension Fund,397.02,2.0,2.0,2.0,12,"Goodlettsville, TN",Tennessee
421,Castellini Group of Companies,2.0,2.0,Corporation,,2.0,2.0,2.0,2,"Newport, KY",Kentucky
422,Cenovus Energy (TSE: CVE),,,Corporation,"71,101.50",2.0,1.0,2.0,2,"Calgary, Canada",Canada
423,Charles Stewart Mott Foundation,2.0,28.0,Foundation,"3,174.77",2.0,2.0,2.0,87,"Flint, Ml",Michigan
424,Children's Hospital Corporation Pension Plan,2.0,36.0,Corporate Pension,724.51,2.0,1.0,2.0,67,"Boston, MA",Massachusetts
425,Christian Education Charitable Trust,2.0,3.0,Foundation,17.76,2.0,2.0,2.0,15,"Chattanooga, TN",Tennessee
426,Christopher Dixon,2.0,5.0,High-net-worth investor,,2.0,2.0,2.0,5,"Menlo Park, CA",California
427,Cimarron Capital Partners,2.0,7.0,Fund of Funds,,2.0,2.0,2.0,12,"Oklahoma City, OK",Oklahoma
428,Citibank Group,,1.0,Banking Institution,100,2.0,1.0,2.0,6,"New York, NY",New York
429,Citigroup Pension Plan,1.0,33.0,Corporate Pension,"13,489.36",2.0,2.0,2.0,248,"Stamford, CT",Connecticut
430,City of Edinburgh Pension Fund,,7.0,Public Pension Fund,"11,414.99",2.0,1.0,2.0,138,"Edinburgh, United Kingdom",UnitedKingdom
431,City of Grand Rapids Police and Fire Retirement System,2.0,5.0,Public Pension Fund,461.57,2.0,2.0,2.0,16,"Grand Rapids, Ml",Michigan
432,City of Phoenix Employees Retirement System,,,Public Pension Fund,"3,057.73",2.0,2.0,2.0,26,"Phoenix,AZ",Arizona
433,City of Portland,2.0,2.0,Government Agency,"2,882.20",2.0,1.0,2.0,2,"Portland, OR",Oregon
434,Clarence E. Heller Charitable Foundation,2.0,16.0,Foundation,63.57,2.0,1.0,2.0,35,"San Francisco, CA",California
435,Claude Worthington Benedum Foundation,2.0,21.0,Foundation,382.08,2.0,2.0,2.0,118,"Pittsburgh, PA",Pennsylvania
436,Cleveland Bakers and Teamsters Pension Fund,,,Union Pension Fund,371.98,2.0,1.0,2.0,10,"Valley View, OH",Ohio
437,CMS Fund Advisers,2.0,20.0,Investment Advisor,0.46,2.0,1.0,2.0,75,"Wynnewood, PA",Pennsylvania
438,Co-Op Retirement Plan,1.0,24.0,Corporate Pension,"2,411.92",2.0,2.0,2.0,103,"Kansas City, MO",Missouri
439,Coller Capital,,15.0,Fund of Funds,"26,000.00",2.0,2.0,2.0,49,"London, United Kingdom",UnitedKingdom
440,Collins Foundation,2.0,4.0,Foundation,253.14,2.0,1.0,2.0,18,"Portland, OR",Oregon
441,Compagnia di San Paolo,2.0,5.0,Foundation,"8,248.80",2.0,1.0,2.0,8,"Turin, Italy",Italy
442,Connecticut General Life Insurance Company,,,Insurance Company,"9,673.13",2.0,1.0,2.0,78,"Bloomfield, CT",Connecticut
443,Connecticut Retirement Plans and Trust Funds,,14.0,Public Pension Fund,"43,000.00",2.0,2.0,2.0,230,"Hartford, CT",Connecticut
444,Corus Engineering Steels Pension Scheme,,,Corporate Pension,,2.0,1.0,2.0,3,"London, United Kingdom",UnitedKingdom
445,Cross Creek,2.0,4.0,Fund of Funds,"1,024.19",2.0,1.0,2.0,4,"Salt Lake City, UT",Utah
446,Crown Cork & Seal Company Master Retirement,2.0,4.0,Corporate Pension,"1,122.71",2.0,2.0,2.0,31,"Yardley, PA",Pennsylvania
447,Curi,2.0,3.0,Insurance Company,"1,000.00",2.0,2.0,2.0,3,"Raleigh, NC",NorthCarolina
448,Cushman & Wakefield (acquired by DTZ),2.0,4.0,Real Estate Investment Company,,2.0,1.0,2.0,4,"Chicago, IL",?Illinois
449,David And Lucile Packard Foundation,,,Foundation,"7,701.34",2.0,2.0,2.0,4,"Los Altos, CA",California
450,David Siminoff,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"San Francisco, CA",California
451,Desjardins Capital,2.0,3.0,Wealth Management Firm,"2,370.77",2.0,2.0,2.0,5,"Montreal, Canada",Canada
452,Detroit Diesel,2.0,2.0,Corporate Pension,248.87,2.0,1.0,2.0,10,"Portland, OR",Oregon
453,Detroit General Retirement System,1.0,4.0,Public Pension Fund,"1,570.67",2.0,2.0,2.0,40,"Detroit, Ml",Michigan
454,Deutsche Borse Group (ETR: DB1),2.0,2.0,Corporation,"1,099,839.39",2.0,1.0,2.0,3,"Eschborn, Germany",Germany
455,DF Enterprises,2.0,6.0,Family Office (Single),,2.0,2.0,2.0,17,"Scottsdale, AZ,",Arizona
456,Dick And Betsy Devos Family Foundation,2.0,2.0,Foundation,61.14,2.0,1.0,2.0,6,"Grand Rapids, Ml",Michigan
457,Donald Rosen,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Malibu, CA",California
458,Dow (t-.VS: DOW),1.0,5.0,Corporation,"9,206.00",2.0,2.0,2.0,7,"Midland, Ml",Michigan
459,Draper Fisher Jurvetson Management,2.0,2.0,Direct Investment,"3,096.00",2.0,2.0,2.0,2,"Menlo Park, CA",California
460,Dyson Foundation,2.0,3.0,Foundation,204.2,2.0,1.0,2.0,40,"Millbrook, NY",New York
461,Eastman Chemical Company Master Retirement Trust,,6.0,Corporate Pension,"1,920.39",2.0,1.0,2.0,109,"Kingsport, TN",Tennessee
462,Eastman Investment & Employee Stock Ownership Plan,,1.0,Corporate Pension,"2,662.98",2.0,1.0,2.0,90,"Kingsport, TN",Tennessee
463,Edyth Bush Charitable Foundation,,1.0,Foundation,87.21,2.0,2.0,2.0,14,"Winter Park, FL",Florida
464,Eli Lilly and Company Foundation,2.0,4.0,Foundation,,2.0,2.0,2.0,4,nan,
465,Emerson Collective,2.0,3.0,Corporation,,2.0,2.0,2.0,3,"Palo Alto, CA",California
466,Empire State Development,2.0,4.0,Economic Development Agency,"20,522.64",2.0,2.0,2.0,4,"New York, NY",New York
467,Environment Agency Pension Fund,,13.0,Public Pension Fund,"6,065.65",2.0,2.0,2.0,85,"Darlington, United Kingdom",UnitedKingdom
468,Ewing Marion Kauffman Foundation,2.0,65.0,Foundation,"2,644.71",2.0,2.0,2.0,145,"Kansas City, MO",Missouri
469,Express Scripts,2.0,2.0,Corporation,"55,441.60",2.0,1.0,2.0,2,"Saint Louis, MO",Missouri
470,Eye Consultants of Atlanta Profit Sharing Plan and Trust,,,Corporate Pension,52.33,2.0,1.0,2.0,10,"Atlanta, GA",Georgia
471,Farm Credit Canada,1.0,6.0,Government Agency,"1,674.27",2.0,2.0,2.0,8,"Regina, Canada",Canada
472,Fidelco Realty Group,2.0,2.0,Real Estate Investment Company,,2.0,1.0,2.0,2,"Millburn, NJ",New Jersey
473,Find Us Faithful Foundation,,6.0,Foundation,99.85,2.0,2.0,2.0,10,"Parker, CO",Colorado
474,Fireman's Fund Insurance Company,2.0,6.0,Insurance Company,"1,198.65",2.0,2.0,2.0,27,"Chicago, IL",?Illinois
475,Flinn Foundation,1.0,7.0,Foundation,186.4,2.0,2.0,2.0,39,"Phoenix, AZ",Arizona
476,Flybridge Capital Partners,2.0,2.0,Fund of Funds,725,2.0,1.0,2.0,2,"Boston, MA",Massachusetts
477,Foot Locker (NYS: FL),2.0,2.0,Foundation,2.72,2.0,2.0,2.0,2,"New York, NY",New York
478,Gatsby Charitable Foundation,,,Foundation,656.99,2.0,2.0,2.0,3,"London, United Kingdom",UnitedKingdom
479,George B. Storer Foundation,,1.0,Foundation,76.67,2.0,1.0,2.0,12,"Jackson, WY",Wyoming
480,George Gund Foundation,2.0,3.0,Foundation,585.92,2.0,1.0,2.0,6,"Cleveland, OH",Ohio
481,Gill Foundation,1.0,5.0,Foundation,184.38,2.0,2.0,2.0,17,"Denver, CO",Colorado
482,GingerBread Capital,2.0,2.0,Direct Investment,,2.0,2.0,2.0,2,"Menlo Park, CA",California
483,Gordon Crawford,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Toronto, Canada",Canada
484,Government of Luxembourg,1.0,,Government Agency,,2.0,2.0,2.0,3,"Luxembourg, Luxembourg",Luxembourg
485,Great American Insurance Company,2.0,4.0,Insurance Company,"8,346.45",2.0,1.0,2.0,29,"Cincinnati, OH",Ohio
486,Great American Life Insurance,2.0,7.0,Insurance Company,"33,756.76",2.0,2.0,2.0,29,"Cincinnati, OH",Ohio
487,Greylock Partners,2.0,3.0,Direct Investment,"3,500.00",2.0,2.0,2.0,3,"Menlo Park, CA",California
488,H-E-B Brand Savings & Retirement Plan,,7.0,Corporate Pension,"2,814.28",2.0,2.0,2.0,106,"San Antonio, TX",Texas
489,Hampton University Endowment,2.0,3.0,Endowment,285.51,2.0,2.0,2.0,3,"Hampton, VA",Virginia
490,Hartford Accident and Indemnity Company,,7.0,Insurance Company,"10,881.63",2.0,1.0,2.0,92,"Hartford, CT",Connecticut
491,Hartford Life and Accident Insurance Company,,4.0,Insurance Company,"10,491.12",2.0,1.0,2.0,89,"Hartford, CT",Connecticut
492,Hemendra Kothari,2.0,3.0,High-net-worth investor,"1,200.00",2.0,1.0,2.0,3,"Mumbai, India",India
493,Herrick Foundation,,1.0,Foundation,160.31,2.0,1.0,2.0,6,"Detroit, Ml",Michigan
494,Hillman Family Foundations,2.0,18.0,Foundation,"1,504.47",2.0,2.0,2.0,83,"Pittsburgh, PA",Pennsylvania
495,Howard Morgan,2.0,3.0,High-net-worth investor,,2.0,2.0,2.0,3,"New York, NY",New York
496,Howard Rowen,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Pacific Palisades, CA",California
497,IHS Markit,2.0,2.0,Corporation,"16,496.50",2.0,1.0,2.0,2,"London, United Kingdom",UnitedKingdom
498,IKEA Foundation,,,Foundation,13.27,2.0,2.0,2.0,3,"Leiden, Netherlands",Netherlands
499,Indiana Public Employees' Defined Benefit Account,,37.0,Public Pension Fund,"17,128.92",2.0,2.0,2.0,237,"Indianapolis, IN",Indiana
500,Industry Ventures,2.0,12.0,Fund of Funds,"5,000.00",2.0,2.0,2.0,12,"San Francisco, CA",California
501,lnnotech Investments,2.0,4.0,Direct Investment,,2.0,2.0,2.0,8,"Leatherhead, United Kingdom",UnitedKingdom
502,lnsperity (NYS: NSP),2.0,2.0,Corporation,634.9,2.0,1.0,2.0,2,"Houston, TX",Texas
503,Institutional Investment Partners Denmark,,8.0,Fund of Funds,"12,000.00",2.0,2.0,2.0,122,"Copenhagen, Denmark",Denmark
504,Interact for Health,2.0,2.0,Foundation,220.25,2.0,2.0,2.0,2,"Cincinnati, OH",Ohio
505,lshiyama Foundation,2.0,6.0,Foundation,86.87,2.0,1.0,2.0,30,"San Francisco, CA",California
506,James and Rebecca Morgan Family Foundation,,5.0,Foundation,35.97,2.0,1.0,2.0,14,"Los Altos, CA",California
507,Janet W. McCune for Charities,2.0,3.0,Foundation,7.74,2.0,2.0,2.0,3,"Pittsburgh, PA",Pennsylvania
508,Japan International Cooperation Agency,,,Economic Development Agency,"2,671.18",2.0,1.0,2.0,4,"Tokyo, Japan",Japan
509,Japan Investment Corporation,2.0,8.0,Corporation,,2.0,2.0,2.0,9,"Chiyoda¡¤ku, Japan",Japan
510,Jarl Mohn,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Washington, DC",District of Columbia
511,Jeffrey Cowan,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Minneapolis, MN",Minnesota
512,Jessie Smith Noyes Foundation,2.0,7.0,Foundation,52.31,2.0,2.0,2.0,11,"New York, NY",New York
513,Jim Wiatt,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Los Angeles, CA",California
514,JLL Spark,2.0,2.0,Real Estate Investment Company,100,2.0,1.0,2.0,2,"San Francisco, CA",California
515,Johnson &Johnson 401(K) Profit Sharing Plan and Trust,2.0,12.0,Corporate Pension,2.43,2.0,2.0,2.0,25,"Lake City, FL",Florida
516,Joseph S. & Diane H. Steinberg 1992 Charitable Trust,1.0,2.0,Foundation,46.98,2.0,2.0,2.0,9,"New York, NY",New York
517,JP Morgan Asset Management,,17.0,Money Management Firm,"2,700,000.00",2.0,2.0,2.0,81,"Kansas City, MO",Missouri
518,JPEL Private Equity (LON:JPEL),,22.0,Fund of Funds,149.81,2.0,1.0,4.0,123,"Saint Peter Port, United Kingdom",UnitedKingdom
519,JPMorgan Chase,1.0,5.0,Money Management Firm,"3,100,000.00",2.0,2.0,2.0,20,"New York, NY",New York
520,JSR(TKS: 4185),2.0,3.0,Corporation,"3,360.00",2.0,1.0,2.0,3,"Tokyo, Japan",Japan
521,Kaiser Permanente Ventures,2.0,2.0,Direct Investment,500,2.0,2.0,2.0,3,"Oakland, CA",California
522,Katherine Mabis Mckenna Foundation,2.0,4.0,Foundation,89.9,2.0,1.0,2.0,7,"Latrobe, PA",Pennsylvania
523,Kent County Council Superannuation Fund,,,Corporate Pension,"9,849.69",2.0,1.0,2.0,27,"Maidstone, United Kingdom",UnitedKingdom
524,Kevin Durant,2.0,2.0,High-net-worth investor,75,2.0,2.0,2.0,2,"Oakland, CA",California
525,KfW Group,,13.0,Banking Institution,"617,889.77",2.0,2.0,2.0,33,"Frankfurt, Germany",Germany
526,Kommunal Landspensjonskasse,2.0,51.0,Insurance Company,"80,000.00",2.0,2.0,2.0,159,"Oslo, Norway",Norway
527,KPN Ventures,2.0,10.0,Fund of Funds,76.99,2.0,1.0,2.0,10,"Rotterdam, Netherlands",Netherlands
528,Lancaster Investments,2.0,3.0,Family Office (Multi),,2.0,2.0,2.0,3,"Madison, WI",Wisconsin
529,Legacy Venture,2.0,4.0,Fund of Funds,"1,000.00",2.0,1.0,2.0,4,"Palo Alto, CA",California
530,Life Insurance Company of North America,,,Insurance Company,"7,596.02",2.0,1.0,2.0,71,"Philadelphia, PA",Pennsylvania
531,London Pensions Fund Authority,,14.0,Public Pension Fund,"9,042.93",2.0,2.0,2.0,149,"London, United Kingdom",UnitedKingdom
532,Louisiana State Employees' Retirement System,2.0,17.0,Public Pension Fund,"13,900.00",2.0,1.0,2.0,145,"Baton Rouge, LA",Louisiana
533,M12,2.0,3.0,Other limited Partner,,2.0,1.0,2.0,3,"San Francisco, CA",California
534,Maclellan Foundation,2.0,6.0,Foundation,235.3,2.0,2.0,2.0,51,"Chattanooga, TN",Tennessee
535,Mandatum Life,2.0,7.0,Insurance Company,"26,396.15",2.0,1.0,2.0,74,"Helsinki, Finland",Finland
536,Marc Andreessen,2.0,7.0,High-net-worth investor,"1,600.00",2.0,2.0,2.0,7,"Atherton, CA",California
537,Mark & Bette Morris Family Foundation,,2.0,Foundation,51.08,2.0,1.0,2.0,29,"Topeka, KS",Kansas
538,Mark Surfas,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Laguna Beach, CA",California
539,Marsh & Mclennan Companies Master Retirement Trust,,8.0,Corporate Pension,"4,450.80",2.0,1.0,2.0,83,"Hoboken, NJ",New Jersey
540,Marsh & Mclennan Companies Retirement Plan,,7.0,Corporate Pension,"4,691.68",2.0,1.0,2.0,94,"Hoboken, NJ",New Jersey
541,Masdar Capital,2.0,3.0,Corporation,"19,900.00",2.0,2.0,2.0,4,"Abu Dhabi, United Arab Emirates",UnitedArabEmirates
542,Mayo Pension Plan,2.0,116.0,Corporate Pension,"10,703.85",2.0,2.0,2.0,370,"Rochester, MN",Minnesota
543,Medical Mutual of Ohio,2.0,5.0,Insurance Company,"2,611.64",2.0,2.0,2.0,6,"Cleveland, OH",Ohio
544,Medtronic (Other Healthcare Technology Systems)(NYS:MDT),2.0,3.0,Corporation,"10,817.00",2.0,2.0,2.0,3,"Minneapolis, MN",Minnesota
545,Mercury Fund,,,Other limited Partner,500,2.0,1.0,2.0,2,"Houston, TX",Texas
546,Metlife Investors USA Insurance Company,2.0,15.0,Insurance Company,,2.0,2.0,2.0,116,"Tampa, FL",Florida
547,Michael Lewis,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Beverly Hills, CA",California
548,Michiyo Yashiro Everard Children's Settlement,,,Foundation,,2.0,1.0,2.0,2,"New York, NY",New York
549,Michiyo Yashiro Everard Settlement,,,Other limited Partner,,2.0,2.0,2.0,2,"London, United Kingdom",UnitedKingdom
550,Middlebury College Endowment,2.0,2.0,Endowment,"1,133.64",2.0,2.0,2.0,3,"Middlebury, VT",Vermont
551,Mimi And Peter Haas Fund,2.0,15.0,Foundation,191.48,2.0,1.0,2.0,47,"San Francisco, CA",California
552,Mistletoe,2.0,8.0,Corporation,,2.0,2.0,2.0,8,"Tokyo, Japan",Japan
553,MIT Basic Retirement Plan,2.0,113.0,Corporate Pension,"5,674.66",2.0,2.0,2.0,354,"Cambridge, MA",Massachusetts
554,MIT Retiree Welfare Benefit Trust,1.0,41.0,Corporate Pension,710.95,2.0,2.0,2.0,132,"Cambridge, MA",Massachusetts
555,Mitsubishi HC Capital (TKS: 8593),2.0,2.0,Corporation,"82,293.28",2.0,2.0,2.0,2,"Tokyo, Japan",Japan
556,Mizuho Financial Group (TKS: 8411),2.0,3.0,Banking Institution,"685,622.32",2.0,2.0,2.0,5,"Tokyo, Japan",Japan
557,Mubadala Investment Company,1.0,5.0,Sovereign Wealth Fund,"243,420.00",2.0,1.0,2.0,8,"Abu Dhabi, United Arab Emirates",UnitedArabEmirates
558,MUFG Union Bank,,,Banking Institution,"132,000.00",2.0,1.0,2.0,4,"New York, NY",New York
559,Municipal Employees Retirement System of louisiana,2.0,4.0,Public Pension Fund,"1,120.41",2.0,1.0,2.0,23,"Baton Rouge, lA",Iowa
560,"Museum of Fine Arts, Houston",,,Foundation,"1,677.05",2.0,1.0,2.0,2,"Houston, TX",Texas
561,Mutual of Omaha Retirement Income Plan,,5.0,Corporate Pension,"30,000.00",2.0,1.0,2.0,37,"Omaha, NE",Nebraska
562,Nashville & Davidson County Metropolitan Government Employee Benefit Trust Fund,1.0,20.0,Public Pension Fund,"3,600.00",2.0,3.0,2.0,134,"Nashville, TN",Tennessee
563,National Automatic Sprinkler Industry Pension Fund,,24.0,Union Pension Fund,"3,744.34",2.0,2.0,2.0,133,"landover, MD",Maryland
564,National Electrical Benefit Fund,1.0,6.0,Union Pension Fund,"15,766.25",2.0,2.0,2.0,24,"Rockville, MD",Maryland
565,National Railroad Retirement Investment Trust,2.0,35.0,Union Pension Fund,"28,400.00",2.0,1.0,2.0,116,"Washington, DC",District of Columbia
566,National Union Fire Insurance Company of Pittsburgh,,9.0,Insurance Company,"16,063.65",2.0,2.0,2.0,146,"New York, NY",New York
567,Nationwide Mutual Insurance Company,2.0,21.0,Insurance Company,"27,432.44",2.0,2.0,2.0,142,"Columbus, OH",Ohio
568,Nestle UK Pension Fund,,,Corporate Pension,,2.0,1.0,2.0,7,"Gatwick, United Kingdom",UnitedKingdom
569,Neuberger Berman,2.0,5.0,Fund of Funds,"460,000.00",2.0,1.0,2.0,41,"New York, NY",New York
570,New Brunswick Innovation Foundation,2.0,2.0,Foundation,32.84,2.0,2.0,2.0,2,"Fredericton, Canada",Canada
571,New York City District Council of Carpenters Welfare Fund,,,Union Pension Fund,826.78,2.0,1.0,2.0,15,"New York, NY",New York
572,New York State Nurses Association Pension Plan,,25.0,Union Pension Fund,"4,000.00",2.0,1.0,2.0,184,"Albany, NY",New York
573,Next Level Indiana Trust Fund,2.0,2.0,Economic Development Agency,250,2.0,2.0,2.0,2,"Indianapolis, IN",Indiana
574,NG DB MT Equity Fund,2.0,29.0,Corporate Pension,"3,300.48",2.0,1.0,2.0,152,"Falls Church, VA",Virginia
575,Nicola Wealth,,4.0,Fund of Funds,"11,500.00",2.0,2.0,2.0,25,"Vancouver, Canada",Canada
576,Norfund,2.0,19.0,Economic Development Agency,"2,183.29",2.0,2.0,2.0,85,"Oslo, Norway",Norway
577,"North Central Heart Institute 401(k) Profit Sharing..,",,,Corporate Pension,48.93,2.0,1.0,2.0,4,"Sioux Falls, SD",SouthDakota
578,Northern light Venture Capital,2.0,3.0,Direct Investment,"4,500.00",2.0,1.0,2.0,3,"Beijing, China",China
579,NZ Growth Capital Partners,2.0,12.0,Fund of Funds,278.75,2.0,2.0,2.0,14,"Auckland, New Zealand",NewZealand
580,Oesterreichische Entwicklungsbank,,1.0,Banking Institution,256.44,2.0,2.0,2.0,13,"Vienna, Austria",Austria
581,Ohio Police & Fire Pension Fund,1.0,18.0,Public Pension Fund,"18,700.00",2.0,2.0,2.0,249,"Columbus, OH",Ohio
582,Ohio Public Employees Retirement System,2.0,24.0,Public Pension Fund,"113,000.00",2.0,2.0,2.0,269,"Columbus, OH",Ohio
583,Oklahoma Capital Investment Board,2.0,12.0,Economic Development Agency,10.36,2.0,2.0,2.0,16,"Oklahoma City, OK",Oklahoma
584,Overbrook Foundation,2.0,3.0,Foundation,169.52,2.0,1.0,2.0,27,"New York, NY",New York
585,PA Capital,,2.0,Money Management Firm,"7,000.00",2.0,2.0,2.0,20,"Richmond, VA",Virginia
586,Pacific Western Bank (Los Angeles),,,Banking Institution,"40,000.00",2.0,1.0,2.0,2,"Beverly Hills, CA",California
587,Pantheon International (LON: PIN),2.0,9.0,Fund of Funds,"1,912.84",2.0,1.0,2.0,so,"London, United Kingdom",UnitedKingdom
588,Parish Capital Advisors,1.0,8.0,Fund of Funds,,2.0,2.0,2.0,35,"Chapel Hill, NC",NorthCarolina
589,Partners Healthcare Master Trust For ERISAAssets,2.0,72.0,Corporate Pension,"6,799.69",2.0,1.0,2.0,248,"Somerville, MA",Massachusetts
590,Peierls Foundation,2.0,6.0,Foundation,103.72,2.0,1.0,2.0,9,"Golden, CO",Colorado
591,Penn Insurance and Annuity Company,2.0,23.0,Insurance Company,"7,263.30",2.0,2.0,2.0,43,"Horsham, PA",Pennsylvania
592,Pension Plan For Employees of Givaudan,2.0,8.0,Corporate Pension,406.86,2.0,2.0,2.0,8,"Mount Olive, NJ",New Jersey
593,Pentegra Defined Benefit Plan for Financial lnstitutions,1.0,2.0,Corporate Pension,"4,411.00",2.0,1.0,2.0,77,"White Plains, NY",New York
594,Pepsico (NAS: PEP),1.0,1.0,Corporation,"11,534.00",2.0,1.0,2.0,3,"Harrison, NY",New York
595,PFRVentures,2.0,10.0,Fund of Funds,696.08,2.0,2.0,2.0,11,"Warsaw, Poland",Poland
596,Philadelphia Board of Pensions and Retirement,2.0,18.0,Other Limited Partner,"7,300.00",2.0,2.0,2.0,130,"Philadelphia, PA",Pennsylvania
597,Philadelphia MuniCtpal Retirement System,2.0,17.0,Public Pension Fund,"7,262.44",2.0,2.0,2.0,97,"Philadelphia, PA",Pennsylvania
598,Physician's Organization at Children's Hospital Welfare Plan,2.0,37.0,Corporate Pension,,2.0,1.0,2.0,68,"Boston, MA",Massachusetts
599,Pictet,2.0,9.0,Banking Institution,"66,000.00",2.0,2.0,2.0,58,"Geneva, Switzerland",Switzerland
600,Portage Ventures,2.0,2.0,Direct Investment,"3,300.00",2.0,1.0,2.0,2,"Toronto, Canada",Canada
601,Potter Employees' Pension Plan,,,Corporate Pension,,2.0,1.0,2.0,2,"Hazelwood, MO",Missouri
602,Precision Castparts Corporate Master Trust Oefin...,1.0,8.0,Corporate Pension,"1,809.51",2.0,2.0,2.0,16,"Portland, OR",Oregon
603,Procter and Gamble Master Retirement Plan,2.0,2.0,Corporate Pension,"1,810.67",2.0,1.0,2.0,2,"Cincinnati, OH",Ohio
604,Progress Investment Management Company,2.0,4.0,Wealth Management Firm,,2.0,1.0,2.0,6,"San Francisco, CA",California
605,Public Safety Personnel Retirement System of the state of Arizona,1.0,22.0,Public Pension Fund,"12,695.18",2.0,2.0,2.0,213,"Phoenix, AZ",Arizona
606,Puerto Rico Telephone Company Master Trust,,,Corporate Pension,"1,171.35",2.0,2.0,2.0,7,"Sanjuan, PR",PuertoRico
607,Rasmuson Foundation,1.0,15.0,Foundation,642.34,2.0,2.0,2.0,154,"Anchorage, AK",Alaska
608,Ravi Venkatesan,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Bengaluru, India",India
609,Regents of the University of Minnesota,,,University (Non-Endowment),,2.0,1.0,2.0,5,"Minneapolis, MN",Minnesota
610,Regions Financial Corporation Retirement Plan,,,Corporate Pension,"1,677.11",2.0,2.0,2.0,15,"Birmingham, AL",Alabama
611,Reynolds American Defined Benefit Master Trust,2.0,26.0,Corporate Pension,"5,981.59",2.0,2.0,2.0,156,"Winston-Salem, NC",NorthCarolina
612,Rhode Island State Investment Commission,2.0,33.0,Public Pension Fund,"10,639.30",2.0,2.0,2.0,235,"Providence, RI",RhodeIsland
613,"Richard H, Driehaus Foundation",1.0,2.0,Foundation,72.8,2.0,1.0,2.0,5,"Chicago, IL",?Illinois
614,Rick Barry,2.0,2.0,High-net-worth investor,,2.0,1.0,2.0,2,"Los Angeles, CA",California
615,RL360 Life Insurance Company,2.0,4.0,Investment Advisor,"176,710.31",2.0,1.0,2.0,23,"Douglas, United Kingdom",UnitedKingdom
616,Robert Glaser,2.0,2.0,High-net-worth investor,16.8,2.0,1.0,2.0,2,"Seattle, WA",Washington
617,Ronald Conway,2.0,4.0,High-net-worth investor,"1,500.00",2.0,2.0,2.0,4,"San Francisco, CA",California
618,Rustic Canyon Partners,2.0,2.0,Direct Investment,,2.0,2.0,2.0,3,"Santa Monica, CA",California
619,Ryder System Retirement Plan,2.0,3.0,Corporate Pension,"1,690.91",2.0,1.0,2.0,9,"Miami, FL",Florida
620,S-Cubed Capital,2.0,4.0,Family Office (Multi),,2.0,1.0,2.0,4,"Menlo Park, CA",California
621,Sampo (HEL: SAMPO),2.0,2.0,Insurance Company,"54,107.70",2.0,1.0,2.0,6,"Helsinki, Finland",Finland
622,San Antonio Fire & Police Pension Fund,,4.0,Public Pension Fund,"4,000.00",2.0,1.0,2.0,149,"San Antonio, TX",Texas
623,San Diego City Employees' Retirement System,3.0,37.0,Public Pension Fund,"10,800.00",2.0,2.0,3.0,242,"San Diego, CA",California
624,San Francisco Employees' Retirement System,,175.0,Public Pension Fund,"34,600.00",2.0,1.0,2.0,694,"San Francisco, CA",California
625,Sarona Asset Management,1.0,2.0,Fund of Funds,329.62,2.0,2.0,2.0,12,"Kitchener, Canada",Canada
626,Saudi Arabia's Public Investment Fund,1.0,2.0,Sovereign Wealth Fund,500000,2.0,1.0,2.0,13,"Riyadh, Saudi Arabia",SaudiArabia
627,Schmidt Family Foundation,1.0,1.0,Foundation,22.63,2.0,2.0,2.0,2,"Boca Raton, FL",Florida
628,Schroders Capital,1.0,28.0,Money Management Firm,70000,2.0,2.0,2.0,97,"Zurich, Switzerland",Switzerland
629,Scurlock Foundation,1.0,7.0,Foundation,34.6,2.0,2.0,2.0,41,"Houston, TX",Texas
630,SDIC Unity Capital,2.0,36.0,Fund of Funds,6293.55,2.0,1.0,2.0,36,"Beijing, China",China
