investor_id,investor_name
281,Better Ventures
282,Binance
283,Binney Street Capital
284,Bislett Management
285,Blaine Capital
286,Blockchain Coinvestors
287,Blu Venture Investors
288,Blue Heron Capital
289,Blue like an Orange Sustainable Capital
290,Blue Pine Partners
291,Blue Scorpion Investments
292,Bluehenge Capital Partners
293,Bonanza Capital
294,Borealis Ventures
295,Born Capital.
296,Bore Capital
297,Boston Capital
298,Boston Family Advisors
299,Boutique Venture Partners
300,Bow Capital
301,Boyd Street Ventures
302,Bramalea Partners
303,Break Trail Ventures
304,Breakwater Management
305,Brewer Lane Ventures
306,Brick & Mortar Ventures
307,Brightstone Venture Capital
308,Building Ventures
309,Caduceus Capital Partners
310,Callais Capital Management
311,Cantos Ventures
312,Capital Eleven
313,Capital Invent
314,Capital Markets Trading
315,Capital Midwest Fund
316,Capital Trust Advisors
317,CapRidge Partners
318,Capstone Capital Partners
319,Carnegie Park Capital
320,Carrelton Asset Management
321,Carson Private Capital
322,Cascade Seed Fund
323,Castle Island Ventures
324,Castlestone Management
325,Catchlight Capital Partners
326,Center on Rural Innovation
327,CerraCap Ventures
328,Chamaeleon
329,Chambers Street Capital Management(NYS:GPT)
330,Chartline Capital Partners
331,Chenel Capital
332,Cherry Tree Investments
333,Chestnut Street Ventures
334,Chingona Ventures
335,Cigna Ventures
336,Cintrifuse
337,Cipher Technologies
338,CircleUp Network
339,Circumference Group
340,CitizenX
341,Citymark Capital
342,Claritas Capital
343,Clarium Capital Management
344,Claughton Capital
345,Clear Current Capital
346,Clerisy
347,CMT Digital
348,Codon Capital
349,Coefficient Capital
350,Cofounders Capital
351,Coinfund
352,Colbeck Capital Management
353,Commodore Capital
354,Communitas Capital Partners
355,Community Investment Management
356,Company Ventures
357,Compound
358,Concord Health Partners
359,Conexo Ventures
360,Conscious Venture Lab
361,Contrary Capital
362,Conversion Capital
363,Corrib Capital Management
364,Cortado Ventures
365,COSIMO Ventures
366,Crescent Cove Advisors
367,Crescent Fund
368,CrowdStreet
369,Cruiser Capital Advisors
370,Crystalline Management
371,CSV Capital Partners
372,Cue Ball
373,Curate Capital
374,Current Yield with Participation Fund
375,D. One Vision Management
376,Dallas Venture Capital
377,Dalus Capital
378,DataTribe
