fm_name,fm_id
GCM Grosvenor,2827
Dominus Capital,8948
Dominus Capital,8948
RiverPark Funds,19906
HPS Investment Partners,7143
HPS Investment Partners,7143
Next Ventures,19921
Next Ventures,19921
Valedor Partners,19922
GEC,11028
Summit Partners,6693
RedBird Capital Partners,16182
Corrum Capital Management,16426
CAZ Investments,9345
Inspiration Venture,15816
Inspiration Venture,15816
York Capital Management,9163
Delta Capital Partners,19948
Delta Capital Partners,19948
Trinity Ventures,6716
Garnett Station Partners,19632
Crosslink Capital,7181
Hamilton Lane,6521
Comvest Partners,11696
Comvest Partners,11696
Comvest Partners,11696
Cannon Capital,18488
Crestone Capital,3431
TCV,6697
CRCM Ventures,19963
CRCM Ventures,19963
CRCM Ventures,19963
CRCM Ventures,19963
Lincolnshire Management,7195
Fair Capital Partners,19970
Rokk3r Inc.,18310
Nuveen,483
Creative Wealth Media,19979
Charter Capital Partners,19980
Charter Capital Partners,19980
Charter Capital Partners,19980
Charter Capital Partners,19980
The OurInterest Group,19981
8VC,17030
JC Flowers & Co.,7899
JC Flowers & Co.,7899
TCV,6697
Dallas Venture Capital,13364
Dallas Venture Capital,13364
TitletownTech Management,19993
TitletownTech Management,19993
TitletownTech Management,19993
TitletownTech Management,19993
TitletownTech Management,19993
Capricorn Investment Group,18670
Capricorn Investment Group,18670
Main Post Advisors,20001
Yorktown Partners,6842
Foundation Energy Management,10734
The Carlyle Group,5579
CAIS Group,19442
Wilshire Associates,6744
SCS Financial Services,9785
SCS Financial Services,9785
SCS Financial Services,9785
Goldman Sachs Asset Management,954
Blue Road Capital,16871
Blue Road Capital,16871
Neuberger Berman Private Markets,1801
Red Dog Capital,17753
GrÃ¸n Ventures,20028
Authentic Ventures,20030
Streamlined Ventures,14329
Apollo Global Management,8096
Audax Group,6386
Prairie Capital Management,9296
MEP Capital,20046
CapitalSpring,11755
Crescent Cove Advisors,18665
13 Ventures,20063
13 Ventures,20063
13 Ventures,20063
Four Rivers Group,14939
Morgan Creek Capital Management,2898
Silver Lake,6681
KSL Capital Partners,7906
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Ares Management,6844
Mountain Capital Management,18061
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Cambrial Capital,20082
Angelo Gordon,5225
Panoramic Ventures,18351
Divergent Venture Partners,12778
Bain Capital,6389
Schechter Private Capital,20097
H.I.G. Capital,6829
Innovation Global Capital,18189
Innovation Global Capital,18189
Innovation Global Capital,18189
The House Fund,20114
Kairos Ventures,18382
Prairie Capital Management,9296
Red Reef Partners,20135
The Carlyle Group,5579
Edison Partners,6468
Edison Partners,6468
Edison Partners,6468
Shore Capital Partners,9489
Melody Capital Management,18496
Melody Capital Management,18496
Melody Capital Management,18496
Melody Capital Management,18496
Amino Capital,14221
Blackstone,5611
BlackRock,867
Capital Factory,18352
Cerberus Capital Management,5613
The Carlyle Group,5579
Urban Innovation Fund,20150
Stone Ridge Asset Management,20152
TPG,6701
Rosemawr Management,18208
Interplay Ventures,20159
Winslow Capital,20165
Valor Ventures,20173
Sierra Verde Capital,20175
NextGen Venture Partners,17811
Saluda Grade Ventures,20177
McKinley Capital Management,19715
McKinley Capital Management,19715
