fm_strategy_id,fm_id,regions,strategy
670,1952,Western Europe,Venture Capital / Growth Equity
1492,4297,North America,Buyout / Corporate Private Equity
77,4297,Western Europe,Buyout / Corporate Private Equity
1601,4297,North America,Venture Capital / Growth Equity
403,4297,Western Europe,Venture Capital / Growth Equity
909,1013,North America,Buyout / Corporate Private Equity
917,1013,Asia-Pacific,Buyout / Corporate Private Equity
1946,1013,Western Europe,Buyout / Corporate Private Equity
2017,1013,North America,Distressed / Turnaround
34,1013,Asia-Pacific,Distressed / Turnaround
111,1013,Western Europe,Distressed / Turnaround
103,1013,North America,Mezzanine / Debt
1579,1013,Asia-Pacific,Mezzanine / Debt
141,1013,Western Europe,Mezzanine / Debt
936,1013,North America,Venture Capital / Growth Equity
1589,1013,Asia-Pacific,Venture Capital / Growth Equity
1896,1013,Western Europe,Venture Capital / Growth Equity
2139,16907,North America,Buyout / Corporate Private Equity
374,16907,North America,Secondaries
222,6350,North America,Buyout / Corporate Private Equity
1100,6350,Asia-Pacific,Buyout / Corporate Private Equity
1653,6350,Central/Eastern Europe,Buyout / Corporate Private Equity
618,6350,Latin America,Buyout / Corporate Private Equity
710,6350,Middle East/Africa,Buyout / Corporate Private Equity
646,6350,Western Europe,Buyout / Corporate Private Equity
630,6350,North America,Fund of Funds / Co-Investment
1705,6350,Asia-Pacific,Fund of Funds / Co-Investment
1570,6350,Central/Eastern Europe,Fund of Funds / Co-Investment
181,6350,Latin America,Fund of Funds / Co-Investment
378,6350,Middle East/Africa,Fund of Funds / Co-Investment
1097,6350,Western Europe,Fund of Funds / Co-Investment
64,6350,North America,Mezzanine / Debt
1294,6350,Asia-Pacific,Mezzanine / Debt
447,6350,Central/Eastern Europe,Mezzanine / Debt
1957,6350,Latin America,Mezzanine / Debt
2119,6350,Middle East/Africa,Mezzanine / Debt
1788,6350,Western Europe,Mezzanine / Debt
1297,6350,North America,Secondaries
1214,6350,Asia-Pacific,Secondaries
1509,6350,Central/Eastern Europe,Secondaries
1606,6350,Latin America,Secondaries
1913,6350,Middle East/Africa,Secondaries
315,6350,Western Europe,Secondaries
1198,6350,North America,Venture Capital / Growth Equity
1761,6350,Asia-Pacific,Venture Capital / Growth Equity
2067,6350,Central/Eastern Europe,Venture Capital / Growth Equity
879,6350,Latin America,Venture Capital / Growth Equity
1209,6350,Middle East/Africa,Venture Capital / Growth Equity
1225,6350,Western Europe,Venture Capital / Growth Equity
1741,2043,North America,Buyout / Corporate Private Equity
730,2043,Asia-Pacific,Buyout / Corporate Private Equity
1051,2043,Western Europe,Buyout / Corporate Private Equity
975,2043,North America,Mezzanine / Debt
29,2043,Asia-Pacific,Mezzanine / Debt
2183,2043,Central/Eastern Europe,Mezzanine / Debt
1746,2043,Middle East/Africa,Mezzanine / Debt
2064,2043,Western Europe,Mezzanine / Debt
1922,2043,North America,Venture Capital / Growth Equity
2200,2043,Asia-Pacific,Venture Capital / Growth Equity
1063,2043,Central/Eastern Europe,Venture Capital / Growth Equity
1841,2043,Middle East/Africa,Venture Capital / Growth Equity
1549,2043,Western Europe,Venture Capital / Growth Equity
2156,6359,North America,Buyout / Corporate Private Equity
1729,6359,Asia-Pacific,Buyout / Corporate Private Equity
536,6359,Central/Eastern Europe,Buyout / Corporate Private Equity
254,6359,Latin America,Buyout / Corporate Private Equity
693,6359,Middle East/Africa,Buyout / Corporate Private Equity
381,6359,Western Europe,Buyout / Corporate Private Equity
1132,6359,North America,Distressed / Turnaround
1892,6359,Asia-Pacific,Distressed / Turnaround
82,6359,Central/Eastern Europe,Distressed / Turnaround
1933,6359,Latin America,Distressed / Turnaround
4,6359,Middle East/Africa,Distressed / Turnaround
785,6359,Western Europe,Distressed / Turnaround
1275,6359,North America,Fund of Funds / Co-Investment
634,6359,Asia-Pacific,Fund of Funds / Co-Investment
56,6359,Central/Eastern Europe,Fund of Funds / Co-Investment
87,6359,Latin America,Fund of Funds / Co-Investment
1802,6359,Middle East/Africa,Fund of Funds / Co-Investment
456,6359,Western Europe,Fund of Funds / Co-Investment
881,6359,North America,Mezzanine / Debt
637,6359,Asia-Pacific,Mezzanine / Debt
1817,6359,Central/Eastern Europe,Mezzanine / Debt
683,6359,Latin America,Mezzanine / Debt
885,6359,Middle East/Africa,Mezzanine / Debt
1967,6359,Western Europe,Mezzanine / Debt
466,6359,North America,Secondaries
1433,6359,Asia-Pacific,Secondaries
1790,6359,Central/Eastern Europe,Secondaries
885,6359,Latin America,Secondaries
284,6359,Middle East/Africa,Secondaries
1983,6359,Western Europe,Secondaries
1823,6359,North America,Venture Capital / Growth Equity
1781,6359,Asia-Pacific,Venture Capital / Growth Equity
1280,6359,Central/Eastern Europe,Venture Capital / Growth Equity
241,6359,Latin America,Venture Capital / Growth Equity
1834,6359,Middle East/Africa,Venture Capital / Growth Equity
1110,6359,Western Europe,Venture Capital / Growth Equity
1747,2838,North America,Fund of Funds / Co-Investment
1930,2838,Asia-Pacific,Fund of Funds / Co-Investment
1933,2838,Central/Eastern Europe,Fund of Funds / Co-Investment
1560,2838,Latin America,Fund of Funds / Co-Investment
1724,2838,Middle East/Africa,Fund of Funds / Co-Investment
1995,2838,Western Europe,Fund of Funds / Co-Investment
1205,2838,North America,Mezzanine / Debt
212,2838,Asia-Pacific,Mezzanine / Debt
553,2838,Central/Eastern Europe,Mezzanine / Debt
1604,2838,Latin America,Mezzanine / Debt
1323,2838,Middle East/Africa,Mezzanine / Debt
1279,2838,Western Europe,Mezzanine / Debt
881,18631,Western Europe,Secondaries
1985,18631,Central/Eastern Europe,Secondaries
1301,6610,North America,Venture Capital / Growth Equity
736,6610,Asia-Pacific,Venture Capital / Growth Equity
1388,6610,Central/Eastern Europe,Venture Capital / Growth Equity
742,6610,Western Europe,Venture Capital / Growth Equity
471,2011,North America,Buyout / Corporate Private Equity
1292,2011,Western Europe,Buyout / Corporate Private Equity
1665,2011,North America,Mezzanine / Debt
1844,2011,Western Europe,Mezzanine / Debt
1898,2011,North America,Venture Capital / Growth Equity
1362,2011,Western Europe,Venture Capital / Growth Equity
1675,5687,North America,Buyout / Corporate Private Equity
333,5687,Asia-Pacific,Buyout / Corporate Private Equity
2047,5687,Central/Eastern Europe,Buyout / Corporate Private Equity
1847,5687,Latin America,Buyout / Corporate Private Equity
1612,5687,Middle East/Africa,Buyout / Corporate Private Equity
1416,5687,Western Europe,Buyout / Corporate Private Equity
1535,5687,North America,Mezzanine / Debt
1362,5687,Asia-Pacific,Mezzanine / Debt
15,5687,Central/Eastern Europe,Mezzanine / Debt
341,5687,Latin America,Mezzanine / Debt
1518,5687,Middle East/Africa,Mezzanine / Debt
1975,5687,Western Europe,Mezzanine / Debt
1819,5687,North America,Venture Capital / Growth Equity
397,5687,Asia-Pacific,Venture Capital / Growth Equity
922,5687,Central/Eastern Europe,Venture Capital / Growth Equity
898,5687,Latin America,Venture Capital / Growth Equity
1268,5687,Middle East/Africa,Venture Capital / Growth Equity
487,5687,Western Europe,Venture Capital / Growth Equity
574,914,North America,Buyout / Corporate Private Equity
1110,914,Asia-Pacific,Buyout / Corporate Private Equity
789,914,Central/Eastern Europe,Buyout / Corporate Private Equity
1738,914,Latin America,Buyout / Corporate Private Equity
66,914,Middle East/Africa,Buyout / Corporate Private Equity
1967,914,Western Europe,Buyout / Corporate Private Equity
79,914,North America,Distressed / Turnaround
1004,914,Asia-Pacific,Distressed / Turnaround
154,914,Central/Eastern Europe,Distressed / Turnaround
772,914,Latin America,Distressed / Turnaround
190,914,Middle East/Africa,Distressed / Turnaround
1053,914,Western Europe,Distressed / Turnaround
1252,914,North America,Fund of Funds / Co-Investment
1171,914,Asia-Pacific,Fund of Funds / Co-Investment
1607,914,Central/Eastern Europe,Fund of Funds / Co-Investment
282,914,Latin America,Fund of Funds / Co-Investment
1625,914,Middle East/Africa,Fund of Funds / Co-Investment
874,914,Western Europe,Fund of Funds / Co-Investment
586,914,North America,Mezzanine / Debt
779,914,Asia-Pacific,Mezzanine / Debt
759,914,Central/Eastern Europe,Mezzanine / Debt
1810,914,Latin America,Mezzanine / Debt
969,914,Middle East/Africa,Mezzanine / Debt
1633,914,Western Europe,Mezzanine / Debt
1309,914,North America,Secondaries
768,914,Asia-Pacific,Secondaries
713,914,Central/Eastern Europe,Secondaries
1637,914,Latin America,Secondaries
1390,914,Middle East/Africa,Secondaries
786,914,Western Europe,Secondaries
2053,914,North America,Venture Capital / Growth Equity
382,914,Asia-Pacific,Venture Capital / Growth Equity
1344,914,Central/Eastern Europe,Venture Capital / Growth Equity
1272,914,Latin America,Venture Capital / Growth Equity
637,914,Middle East/Africa,Venture Capital / Growth Equity
1989,914,Western Europe,Venture Capital / Growth Equity
1243,6608,North America,Buyout / Corporate Private Equity
1346,6608,Western Europe,Mezzanine / Debt
1728,6523,North America,Buyout / Corporate Private Equity
1094,6523,Asia-Pacific,Buyout / Corporate Private Equity
1633,6523,Central/Eastern Europe,Buyout / Corporate Private Equity
793,6523,Latin America,Buyout / Corporate Private Equity
201,6523,Middle East/Africa,Buyout / Corporate Private Equity
41,6523,Western Europe,Buyout / Corporate Private Equity
1787,6523,North America,Distressed / Turnaround
356,6523,Asia-Pacific,Distressed / Turnaround
1149,6523,Central/Eastern Europe,Distressed / Turnaround
225,6523,Latin America,Distressed / Turnaround
1843,6523,Middle East/Africa,Distressed / Turnaround
745,6523,Western Europe,Distressed / Turnaround
38,6523,North America,Fund of Funds / Co-Investment
1054,6523,Asia-Pacific,Fund of Funds / Co-Investment
1032,6523,Central/Eastern Europe,Fund of Funds / Co-Investment
746,6523,Latin America,Fund of Funds / Co-Investment
482,6523,Middle East/Africa,Fund of Funds / Co-Investment
1026,6523,Western Europe,Fund of Funds / Co-Investment
1414,6523,North America,Mezzanine / Debt
629,6523,Asia-Pacific,Mezzanine / Debt
1089,6523,Central/Eastern Europe,Mezzanine / Debt
684,6523,Latin America,Mezzanine / Debt
1598,6523,Middle East/Africa,Mezzanine / Debt
1877,6523,Western Europe,Mezzanine / Debt
787,6523,North America,Other
442,6523,Asia-Pacific,Other
1700,6523,Central/Eastern Europe,Other
1142,6523,Latin America,Other
961,6523,Middle East/Africa,Other
121,6523,Western Europe,Other
1627,6523,North America,Secondaries
784,6523,Asia-Pacific,Secondaries
1641,6523,Central/Eastern Europe,Secondaries
357,6523,Latin America,Secondaries
350,6523,Middle East/Africa,Secondaries
1111,6523,Western Europe,Secondaries
1513,6523,North America,Venture Capital / Growth Equity
1613,6523,Asia-Pacific,Venture Capital / Growth Equity
1392,6523,Central/Eastern Europe,Venture Capital / Growth Equity
415,6523,Latin America,Venture Capital / Growth Equity
1206,6523,Middle East/Africa,Venture Capital / Growth Equity
1786,6523,Western Europe,Venture Capital / Growth Equity
1619,8032,North America,Buyout / Corporate Private Equity
693,8032,Asia-Pacific,Buyout / Corporate Private Equity
141,8032,Central/Eastern Europe,Buyout / Corporate Private Equity
358,8032,Latin America,Buyout / Corporate Private Equity
1814,8032,Middle East/Africa,Buyout / Corporate Private Equity
1755,8032,Western Europe,Buyout / Corporate Private Equity
1175,8032,North America,Distressed / Turnaround
2193,8032,Asia-Pacific,Distressed / Turnaround
408,8032,Central/Eastern Europe,Distressed / Turnaround
225,8032,Latin America,Distressed / Turnaround
194,8032,Middle East/Africa,Distressed / Turnaround
1786,8032,Western Europe,Distressed / Turnaround
1002,8032,North America,Fund of Funds / Co-Investment
1851,8032,Asia-Pacific,Fund of Funds / Co-Investment
1643,8032,Central/Eastern Europe,Fund of Funds / Co-Investment
2136,8032,Latin America,Fund of Funds / Co-Investment
339,8032,Middle East/Africa,Fund of Funds / Co-Investment
2164,8032,Western Europe,Fund of Funds / Co-Investment
1777,8032,North America,Mezzanine / Debt
502,8032,Asia-Pacific,Mezzanine / Debt
1658,8032,Central/Eastern Europe,Mezzanine / Debt
903,8032,Latin America,Mezzanine / Debt
150,8032,Middle East/Africa,Mezzanine / Debt
1431,8032,Western Europe,Mezzanine / Debt
671,8032,North America,Secondaries
1597,8032,Asia-Pacific,Secondaries
349,8032,Central/Eastern Europe,Secondaries
1911,8032,Latin America,Secondaries
1077,8032,Middle East/Africa,Secondaries
1517,8032,Western Europe,Secondaries
1099,8032,North America,Venture Capital / Growth Equity
193,8032,Asia-Pacific,Venture Capital / Growth Equity
1878,8032,Central/Eastern Europe,Venture Capital / Growth Equity
689,8032,Latin America,Venture Capital / Growth Equity
1483,8032,Middle East/Africa,Venture Capital / Growth Equity
305,8032,Western Europe,Venture Capital / Growth Equity
760,20141,North America,Venture Capital / Growth Equity
1454,2790,North America,Fund of Funds / Co-Investment
1186,2790,North America,Venture Capital / Growth Equity
1318,1722,North America,Buyout / Corporate Private Equity
296,1722,Asia-Pacific,Buyout / Corporate Private Equity
1220,1722,Central/Eastern Europe,Buyout / Corporate Private Equity
200,1722,Latin America,Buyout / Corporate Private Equity
601,1722,Middle East/Africa,Buyout / Corporate Private Equity
1690,1722,Western Europe,Buyout / Corporate Private Equity
615,1722,North America,Distressed / Turnaround
593,1722,Asia-Pacific,Distressed / Turnaround
227,1722,Central/Eastern Europe,Distressed / Turnaround
695,1722,Latin America,Distressed / Turnaround
1200,1722,Middle East/Africa,Distressed / Turnaround
1997,1722,Western Europe,Distressed / Turnaround
410,1722,North America,Fund of Funds / Co-Investment
268,1722,Asia-Pacific,Fund of Funds / Co-Investment
1116,1722,Central/Eastern Europe,Fund of Funds / Co-Investment
577,1722,Latin America,Fund of Funds / Co-Investment
545,1722,Middle East/Africa,Fund of Funds / Co-Investment
1917,1722,Western Europe,Fund of Funds / Co-Investment
1458,1722,North America,Venture Capital / Growth Equity
1909,1722,Asia-Pacific,Venture Capital / Growth Equity
1033,1722,Central/Eastern Europe,Venture Capital / Growth Equity
1163,1722,Latin America,Venture Capital / Growth Equity
1616,1722,Middle East/Africa,Venture Capital / Growth Equity
1278,1722,Western Europe,Venture Capital / Growth Equity
1177,1005,North America,Buyout / Corporate Private Equity
1530,1005,Asia-Pacific,Buyout / Corporate Private Equity
438,1005,Central/Eastern Europe,Buyout / Corporate Private Equity
944,1005,Latin America,Buyout / Corporate Private Equity
1383,1005,Middle East/Africa,Buyout / Corporate Private Equity
259,1005,Western Europe,Buyout / Corporate Private Equity
264,1005,North America,Distressed / Turnaround
1104,1005,Asia-Pacific,Distressed / Turnaround
997,1005,Central/Eastern Europe,Distressed / Turnaround
629,1005,Western Europe,Distressed / Turnaround
567,1005,North America,Mezzanine / Debt
896,1005,Asia-Pacific,Mezzanine / Debt
1054,1005,Central/Eastern Europe,Mezzanine / Debt
830,1005,Western Europe,Mezzanine / Debt
1081,1005,North America,Other
2166,1005,Asia-Pacific,Other
115,1005,Central/Eastern Europe,Other
1259,1005,Latin America,Other
452,1005,Middle East/Africa,Other
1335,1005,Western Europe,Other
1354,1005,North America,Secondaries
772,1005,Asia-Pacific,Secondaries
67,1005,Central/Eastern Europe,Secondaries
1633,1005,Latin America,Secondaries
1034,1005,Middle East/Africa,Secondaries
2037,1005,Western Europe,Secondaries
296,1005,North America,Venture Capital / Growth Equity
494,1005,Asia-Pacific,Venture Capital / Growth Equity
2003,1005,Central/Eastern Europe,Venture Capital / Growth Equity
486,1005,Middle East/Africa,Venture Capital / Growth Equity
78,1005,Western Europe,Venture Capital / Growth Equity
1644,3479,North America,Buyout / Corporate Private Equity
98,3479,North America,Venture Capital / Growth Equity
851,6644,North America,Fund of Funds / Co-Investment
716,6644,Asia-Pacific,Fund of Funds / Co-Investment
1056,6644,Central/Eastern Europe,Fund of Funds / Co-Investment
1238,6644,Latin America,Fund of Funds / Co-Investment
773,6644,Middle East/Africa,Fund of Funds / Co-Investment
1860,6644,Western Europe,Fund of Funds / Co-Investment
1956,6644,North America,Secondaries
1694,6644,Asia-Pacific,Secondaries
745,6644,Central/Eastern Europe,Secondaries
1010,6644,Latin America,Secondaries
830,6644,Middle East/Africa,Secondaries
704,6644,Western Europe,Secondaries
801,19429,Western Europe,Venture Capital / Growth Equity
1593,19429,Central/Eastern Europe,Venture Capital / Growth Equity
191,20858,Asia-Pacific,Venture Capital / Growth Equity
211,16065,North America,Secondaries
403,16065,North America,Venture Capital / Growth Equity
272,3944,North America,Buyout / Corporate Private Equity
1200,3944,North America,Distressed / Turnaround
1212,3944,North America,Fund of Funds / Co-Investment
467,3944,North America,Mezzanine / Debt
902,3944,North America,Secondaries
600,3944,North America,Venture Capital / Growth Equity
1838,6550,North America,Buyout / Corporate Private Equity
1840,6550,Asia-Pacific,Buyout / Corporate Private Equity
1153,6550,Central/Eastern Europe,Buyout / Corporate Private Equity
930,6550,Latin America,Buyout / Corporate Private Equity
1727,6550,Middle East/Africa,Buyout / Corporate Private Equity
336,6550,Western Europe,Buyout / Corporate Private Equity
328,6550,North America,Distressed / Turnaround
1513,6550,Asia-Pacific,Distressed / Turnaround
2137,6550,Central/Eastern Europe,Distressed / Turnaround
1628,6550,Latin America,Distressed / Turnaround
1906,6550,Middle East/Africa,Distressed / Turnaround
712,6550,Western Europe,Distressed / Turnaround
617,6550,North America,Fund of Funds / Co-Investment
2014,6550,Asia-Pacific,Fund of Funds / Co-Investment
928,6550,Central/Eastern Europe,Fund of Funds / Co-Investment
960,6550,Latin America,Fund of Funds / Co-Investment
446,6550,Middle East/Africa,Fund of Funds / Co-Investment
357,6550,Western Europe,Fund of Funds / Co-Investment
1984,6550,North America,Mezzanine / Debt
556,6550,Asia-Pacific,Mezzanine / Debt
1574,6550,Central/Eastern Europe,Mezzanine / Debt
1190,6550,Latin America,Mezzanine / Debt
597,6550,Middle East/Africa,Mezzanine / Debt
226,6550,Western Europe,Mezzanine / Debt
741,6550,North America,Secondaries
2050,6550,Asia-Pacific,Secondaries
1845,6550,Central/Eastern Europe,Secondaries
149,6550,Latin America,Secondaries
551,6550,Middle East/Africa,Secondaries
1845,6550,Western Europe,Secondaries
2173,6550,North America,Venture Capital / Growth Equity
126,6550,Asia-Pacific,Venture Capital / Growth Equity
1939,6550,Central/Eastern Europe,Venture Capital / Growth Equity
372,6550,Latin America,Venture Capital / Growth Equity
971,6550,Middle East/Africa,Venture Capital / Growth Equity
540,6550,Western Europe,Venture Capital / Growth Equity
1521,5612,North America,Buyout / Corporate Private Equity
299,5612,Asia-Pacific,Buyout / Corporate Private Equity
962,5612,Central/Eastern Europe,Buyout / Corporate Private Equity
695,5612,Latin America,Buyout / Corporate Private Equity
1605,5612,Middle East/Africa,Buyout / Corporate Private Equity
21,5612,Western Europe,Buyout / Corporate Private Equity
1763,5612,North America,Fund of Funds / Co-Investment
1607,5612,Asia-Pacific,Fund of Funds / Co-Investment
1847,5612,Central/Eastern Europe,Fund of Funds / Co-Investment
661,5612,Latin America,Fund of Funds / Co-Investment
1873,5612,Middle East/Africa,Fund of Funds / Co-Investment
650,5612,Western Europe,Fund of Funds / Co-Investment
1986,5612,North America,Mezzanine / Debt
1206,5612,Asia-Pacific,Mezzanine / Debt
1932,5612,Central/Eastern Europe,Mezzanine / Debt
1756,5612,Latin America,Mezzanine / Debt
168,5612,Middle East/Africa,Mezzanine / Debt
1055,5612,Western Europe,Mezzanine / Debt
602,5612,North America,Other
1251,5612,Asia-Pacific,Other
93,5612,Central/Eastern Europe,Other
44,5612,Latin America,Other
1125,5612,Middle East/Africa,Other
1398,5612,Western Europe,Other
1634,5612,North America,Secondaries
193,5612,Asia-Pacific,Secondaries
272,5612,Central/Eastern Europe,Secondaries
1503,5612,Latin America,Secondaries
1393,5612,Middle East/Africa,Secondaries
870,5612,Western Europe,Secondaries
875,5612,North America,Venture Capital / Growth Equity
1586,5612,Asia-Pacific,Venture Capital / Growth Equity
2132,5612,Central/Eastern Europe,Venture Capital / Growth Equity
644,5612,Latin America,Venture Capital / Growth Equity
244,5612,Middle East/Africa,Venture Capital / Growth Equity
190,5612,Western Europe,Venture Capital / Growth Equity
1900,902,North America,Buyout / Corporate Private Equity
109,902,Asia-Pacific,Buyout / Corporate Private Equity
2085,902,Western Europe,Buyout / Corporate Private Equity
489,902,North America,Fund of Funds / Co-Investment
131,902,Asia-Pacific,Fund of Funds / Co-Investment
1705,902,Western Europe,Fund of Funds / Co-Investment
821,902,North America,Mezzanine / Debt
1682,902,Asia-Pacific,Mezzanine / Debt
733,902,Western Europe,Mezzanine / Debt
1818,902,North America,Venture Capital / Growth Equity
1756,902,Asia-Pacific,Venture Capital / Growth Equity
1729,902,Western Europe,Venture Capital / Growth Equity
506,1757,North America,Buyout / Corporate Private Equity
833,1757,Asia-Pacific,Buyout / Corporate Private Equity
801,1757,Central/Eastern Europe,Buyout / Corporate Private Equity
590,1757,Latin America,Buyout / Corporate Private Equity
1623,1757,Middle East/Africa,Buyout / Corporate Private Equity
407,1757,Western Europe,Buyout / Corporate Private Equity
905,1757,North America,Distressed / Turnaround
1840,1757,Asia-Pacific,Distressed / Turnaround
451,1757,Central/Eastern Europe,Distressed / Turnaround
1563,1757,Latin America,Distressed / Turnaround
1866,1757,Middle East/Africa,Distressed / Turnaround
124,1757,Western Europe,Distressed / Turnaround
2067,1757,North America,Fund of Funds / Co-Investment
657,1757,Asia-Pacific,Fund of Funds / Co-Investment
1884,1757,Central/Eastern Europe,Fund of Funds / Co-Investment
778,1757,Latin America,Fund of Funds / Co-Investment
484,1757,Middle East/Africa,Fund of Funds / Co-Investment
713,1757,Western Europe,Fund of Funds / Co-Investment
1963,1757,North America,Mezzanine / Debt
1274,1757,Asia-Pacific,Mezzanine / Debt
1963,1757,Central/Eastern Europe,Mezzanine / Debt
1959,1757,Latin America,Mezzanine / Debt
1167,1757,Middle East/Africa,Mezzanine / Debt
137,1757,Western Europe,Mezzanine / Debt
781,1757,North America,Secondaries
1283,1757,Asia-Pacific,Secondaries
2188,1757,Central/Eastern Europe,Secondaries
948,1757,Latin America,Secondaries
314,1757,Middle East/Africa,Secondaries
1898,1757,Western Europe,Secondaries
1438,1757,North America,Venture Capital / Growth Equity
1299,1757,Asia-Pacific,Venture Capital / Growth Equity
1391,1757,Central/Eastern Europe,Venture Capital / Growth Equity
752,1757,Latin America,Venture Capital / Growth Equity
671,1757,Middle East/Africa,Venture Capital / Growth Equity
1398,1757,Western Europe,Venture Capital / Growth Equity
1001,3659,North America,Venture Capital / Growth Equity
1895,15736,North America,Fund of Funds / Co-Investment
389,15736,North America,Venture Capital / Growth Equity
818,6536,North America,Buyout / Corporate Private Equity
153,6536,North America,Distressed / Turnaround
42,6536,North America,Secondaries
1645,6536,Asia-Pacific,Secondaries
277,6536,Latin America,Secondaries
259,6536,Western Europe,Secondaries
2067,6536,North America,Venture Capital / Growth Equity
221,6536,Asia-Pacific,Venture Capital / Growth Equity
1290,6536,Latin America,Venture Capital / Growth Equity
1025,6536,Western Europe,Venture Capital / Growth Equity
200,1333,North America,Buyout / Corporate Private Equity
1417,1333,Asia-Pacific,Buyout / Corporate Private Equity
1837,1333,Central/Eastern Europe,Buyout / Corporate Private Equity
376,1333,Latin America,Buyout / Corporate Private Equity
2085,1333,Middle East/Africa,Buyout / Corporate Private Equity
1366,1333,Western Europe,Buyout / Corporate Private Equity
1779,1333,North America,Fund of Funds / Co-Investment
1578,1333,Asia-Pacific,Fund of Funds / Co-Investment
794,1333,Central/Eastern Europe,Fund of Funds / Co-Investment
310,1333,Latin America,Fund of Funds / Co-Investment
699,1333,Middle East/Africa,Fund of Funds / Co-Investment
1583,1333,Western Europe,Fund of Funds / Co-Investment
676,1333,North America,Mezzanine / Debt
2114,1333,Asia-Pacific,Mezzanine / Debt
1916,1333,Central/Eastern Europe,Mezzanine / Debt
1226,1333,Latin America,Mezzanine / Debt
359,1333,Middle East/Africa,Mezzanine / Debt
1606,1333,Western Europe,Mezzanine / Debt
1272,1333,North America,Venture Capital / Growth Equity
1673,1333,Asia-Pacific,Venture Capital / Growth Equity
118,1333,Central/Eastern Europe,Venture Capital / Growth Equity
797,1333,Latin America,Venture Capital / Growth Equity
318,1333,Middle East/Africa,Venture Capital / Growth Equity
1718,1333,Western Europe,Venture Capital / Growth Equity
1121,3155,North America,Buyout / Corporate Private Equity
1879,3155,North America,Distressed / Turnaround
1109,3155,North America,Fund of Funds / Co-Investment
436,3155,North America,Mezzanine / Debt
339,3155,Western Europe,Mezzanine / Debt
961,3155,North America,Secondaries
1423,3155,Western Europe,Secondaries
1872,3155,North America,Venture Capital / Growth Equity
781,8019,North America,Buyout / Corporate Private Equity
18,8019,Asia-Pacific,Buyout / Corporate Private Equity
522,8019,Central/Eastern Europe,Buyout / Corporate Private Equity
2115,8019,Latin America,Buyout / Corporate Private Equity
412,8019,Middle East/Africa,Buyout / Corporate Private Equity
1312,8019,Western Europe,Buyout / Corporate Private Equity
1623,8019,North America,Distressed / Turnaround
1390,8019,Asia-Pacific,Distressed / Turnaround
1187,8019,Central/Eastern Europe,Distressed / Turnaround
2176,8019,Latin America,Distressed / Turnaround
1867,8019,Middle East/Africa,Distressed / Turnaround
1317,8019,Western Europe,Distressed / Turnaround
987,8019,North America,Fund of Funds / Co-Investment
452,8019,Asia-Pacific,Fund of Funds / Co-Investment
255,8019,Central/Eastern Europe,Fund of Funds / Co-Investment
460,8019,Latin America,Fund of Funds / Co-Investment
2088,8019,Middle East/Africa,Fund of Funds / Co-Investment
682,8019,Western Europe,Fund of Funds / Co-Investment
397,8019,North America,Mezzanine / Debt
516,8019,Asia-Pacific,Mezzanine / Debt
788,8019,Central/Eastern Europe,Mezzanine / Debt
1920,8019,Latin America,Mezzanine / Debt
1932,8019,Middle East/Africa,Mezzanine / Debt
67,8019,Western Europe,Mezzanine / Debt
45,8019,North America,Secondaries
248,8019,Asia-Pacific,Secondaries
2178,8019,Central/Eastern Europe,Secondaries
1599,8019,Latin America,Secondaries
2073,8019,Middle East/Africa,Secondaries
312,8019,Western Europe,Secondaries
87,8019,North America,Venture Capital / Growth Equity
99,8019,Asia-Pacific,Venture Capital / Growth Equity
1959,8019,Central/Eastern Europe,Venture Capital / Growth Equity
1411,8019,Latin America,Venture Capital / Growth Equity
1509,8019,Middle East/Africa,Venture Capital / Growth Equity
1001,8019,Western Europe,Venture Capital / Growth Equity
361,13004,North America,Venture Capital / Growth Equity
2,20727,North America,Buyout / Corporate Private Equity
1723,20727,North America,Distressed / Turnaround
388,20727,North America,Fund of Funds / Co-Investment
1226,20727,North America,Mezzanine / Debt
1398,20727,North America,Secondaries
1791,20727,North America,Venture Capital / Growth Equity
87,5587,North America,Buyout / Corporate Private Equity
1631,5587,Asia-Pacific,Buyout / Corporate Private Equity
1085,5587,Central/Eastern Europe,Buyout / Corporate Private Equity
703,5587,Latin America,Buyout / Corporate Private Equity
1320,5587,Middle East/Africa,Buyout / Corporate Private Equity
1035,5587,Western Europe,Buyout / Corporate Private Equity
1804,5587,North America,Fund of Funds / Co-Investment
1749,5587,Asia-Pacific,Fund of Funds / Co-Investment
147,5587,Central/Eastern Europe,Fund of Funds / Co-Investment
1345,5587,Latin America,Fund of Funds / Co-Investment
716,5587,Middle East/Africa,Fund of Funds / Co-Investment
991,5587,Western Europe,Fund of Funds / Co-Investment
1155,5587,North America,Mezzanine / Debt
1527,5587,Asia-Pacific,Mezzanine / Debt
406,5587,Central/Eastern Europe,Mezzanine / Debt
1046,5587,Latin America,Mezzanine / Debt
1903,5587,Middle East/Africa,Mezzanine / Debt
253,5587,Western Europe,Mezzanine / Debt
1235,5587,North America,Other
1349,5587,Asia-Pacific,Other
1093,5587,Central/Eastern Europe,Other
1559,5587,Latin America,Other
86,5587,Middle East/Africa,Other
1882,5587,Western Europe,Other
2151,5587,North America,Secondaries
1998,5587,Asia-Pacific,Secondaries
1413,5587,Central/Eastern Europe,Secondaries
1464,5587,Latin America,Secondaries
1435,5587,Middle East/Africa,Secondaries
912,5587,Western Europe,Secondaries
1983,5587,North America,Venture Capital / Growth Equity
