fm_strategy_id,fm_id,regions,strategy
1514,12716,North America,Venture Capital / Growth Equity
1649,3302,North America,Buyout / Corporate Private Equity
437,3302,North America,Other
49,3302,North America,Venture Capital / Growth Equity
1884,16455,Asia-Pacific,Venture Capital / Growth Equity
1319,17649,North America,Buyout / Corporate Private Equity
1321,4310,North America,Buyout / Corporate Private Equity
1483,4310,Asia-Pacific,Buyout / Corporate Private Equity
1426,4310,North America,Venture Capital / Growth Equity
847,4310,Asia-Pacific,Venture Capital / Growth Equity
543,7085,North America,Buyout / Corporate Private Equity
86,7085,Western Europe,Buyout / Corporate Private Equity
2024,7085,North America,Distressed / Turnaround
359,7085,Western Europe,Distressed / Turnaround
373,7085,North America,Fund of Funds / Co-Investment
1424,7085,Western Europe,Fund of Funds / Co-Investment
1790,7085,North America,Mezzanine / Debt
1218,7085,Western Europe,Mezzanine / Debt
87,7085,North America,Secondaries
1985,7085,Western Europe,Secondaries
538,7085,North America,Venture Capital / Growth Equity
2121,7085,Western Europe,Venture Capital / Growth Equity
949,2827,North America,Buyout / Corporate Private Equity
2071,2827,Asia-Pacific,Buyout / Corporate Private Equity
1084,2827,Central/Eastern Europe,Buyout / Corporate Private Equity
1168,2827,Latin America,Buyout / Corporate Private Equity
1555,2827,Middle East/Africa,Buyout / Corporate Private Equity
2097,2827,Western Europe,Buyout / Corporate Private Equity
798,2827,North America,Distressed / Turnaround
1968,2827,Asia-Pacific,Distressed / Turnaround
2164,2827,Central/Eastern Europe,Distressed / Turnaround
232,2827,Latin America,Distressed / Turnaround
1117,2827,Middle East/Africa,Distressed / Turnaround
1006,2827,Western Europe,Distressed / Turnaround
1947,2827,North America,Fund of Funds / Co-Investment
1351,2827,Asia-Pacific,Fund of Funds / Co-Investment
894,2827,Central/Eastern Europe,Fund of Funds / Co-Investment
2049,2827,Latin America,Fund of Funds / Co-Investment
695,2827,Middle East/Africa,Fund of Funds / Co-Investment
77,2827,Western Europe,Fund of Funds / Co-Investment
2051,2827,North America,Mezzanine / Debt
300,2827,Asia-Pacific,Mezzanine / Debt
433,2827,Central/Eastern Europe,Mezzanine / Debt
543,2827,Latin America,Mezzanine / Debt
1405,2827,Middle East/Africa,Mezzanine / Debt
1886,2827,Western Europe,Mezzanine / Debt
1093,2827,North America,Secondaries
1237,2827,Asia-Pacific,Secondaries
1916,2827,Central/Eastern Europe,Secondaries
1508,2827,Latin America,Secondaries
2007,2827,Middle East/Africa,Secondaries
783,2827,Western Europe,Secondaries
808,2827,North America,Venture Capital / Growth Equity
2203,2827,Asia-Pacific,Venture Capital / Growth Equity
1692,2827,Central/Eastern Europe,Venture Capital / Growth Equity
1990,2827,Latin America,Venture Capital / Growth Equity
221,2827,Middle East/Africa,Venture Capital / Growth Equity
1837,2827,Western Europe,Venture Capital / Growth Equity
935,9345,North America,Buyout / Corporate Private Equity
1991,9345,Western Europe,Buyout / Corporate Private Equity
1449,9345,North America,Mezzanine / Debt
1004,9345,Western Europe,Mezzanine / Debt
180,9345,North America,Venture Capital / Growth Equity
257,9345,Western Europe,Venture Capital / Growth Equity
1108,6521,North America,Buyout / Corporate Private Equity
1961,6521,Asia-Pacific,Buyout / Corporate Private Equity
708,6521,Central/Eastern Europe,Buyout / Corporate Private Equity
45,6521,Latin America,Buyout / Corporate Private Equity
838,6521,Middle East/Africa,Buyout / Corporate Private Equity
1772,6521,Western Europe,Buyout / Corporate Private Equity
1917,6521,North America,Distressed / Turnaround
1667,6521,Asia-Pacific,Distressed / Turnaround
2124,6521,Western Europe,Distressed / Turnaround
1012,6521,North America,Fund of Funds / Co-Investment
193,6521,Asia-Pacific,Fund of Funds / Co-Investment
1215,6521,Central/Eastern Europe,Fund of Funds / Co-Investment
710,6521,Latin America,Fund of Funds / Co-Investment
1805,6521,Middle East/Africa,Fund of Funds / Co-Investment
2116,6521,Western Europe,Fund of Funds / Co-Investment
826,6521,North America,Mezzanine / Debt
57,6521,Central/Eastern Europe,Mezzanine / Debt
1500,6521,Western Europe,Mezzanine / Debt
1037,6521,North America,Other
2185,6521,North America,Secondaries
1831,6521,Asia-Pacific,Secondaries
433,6521,Central/Eastern Europe,Secondaries
748,6521,Latin America,Secondaries
526,6521,Middle East/Africa,Secondaries
865,6521,Western Europe,Secondaries
2142,6521,North America,Venture Capital / Growth Equity
1564,6521,Asia-Pacific,Venture Capital / Growth Equity
1663,6521,Central/Eastern Europe,Venture Capital / Growth Equity
975,6521,Middle East/Africa,Venture Capital / Growth Equity
279,6521,Western Europe,Venture Capital / Growth Equity
1949,3431,North America,Buyout / Corporate Private Equity
1026,3431,North America,Distressed / Turnaround
1971,3431,North America,Fund of Funds / Co-Investment
846,3431,North America,Mezzanine / Debt
1613,3431,North America,Secondaries
1783,3431,North America,Venture Capital / Growth Equity
308,483,North America,Buyout / Corporate Private Equity
