lp_sector_id,lp_id,sector,has_appetite
4296,45,Leisure,False
24191,45,Manufacturing,False
35763,45,Natural Resources,False
7618,45,Other,False
60415,45,Retail,False
47744,45,TMT,False
35180,45,Transport,False
53876,48,Biotech / Life Science,True
21038,48,Clean Tech / Renewable,False
16408,48,Consumer Goods,False
15732,48,Diversified,True
18299,48,Energy / Oil & Gas,False
23918,48,Financial Services,False
34436,48,Healthcare,True
2945,48,Industrials,False
13181,48,Leisure,False
35713,48,Manufacturing,False
7156,48,Natural Resources,False
2640,48,Other,False
28792,48,Retail,False
59104,48,TMT,False
31355,48,Transport,False
38087,50,Biotech / Life Science,True
17294,50,Clean Tech / Renewable,True
59728,50,Consumer Goods,True
11458,50,Diversified,True
55796,50,Energy / Oil & Gas,True
22026,50,Financial Services,True
53482,50,Healthcare,True
54319,50,Industrials,True
32499,50,Leisure,False
33764,50,Manufacturing,True
5107,50,Natural Resources,False
31351,50,Other,False
18839,50,Retail,True
2084,50,TMT,True
34696,50,Transport,True
31671,54,Biotech / Life Science,True
39891,54,Clean Tech / Renewable,False
58724,54,Consumer Goods,False
41991,54,Diversified,True
26921,54,Energy / Oil & Gas,True
48883,54,Financial Services,True
46984,54,Healthcare,True
41236,54,Industrials,False
5382,54,Leisure,False
34634,54,Manufacturing,False
11637,54,Natural Resources,False
43432,54,Other,False
46566,54,Retail,False
29200,54,TMT,True
62650,54,Transport,False
17552,55,Biotech / Life Science,True
34582,55,Clean Tech / Renewable,True
54573,55,Consumer Goods,True
34321,55,Diversified,True
46481,55,Energy / Oil & Gas,False
51240,55,Financial Services,True
45902,55,Healthcare,True
36692,55,Industrials,True
50757,55,Leisure,False
45933,55,Manufacturing,False
56361,55,Natural Resources,False
42131,55,Other,False
40114,55,Retail,True
8829,55,TMT,True
28094,55,Transport,False
1387,59,Biotech / Life Science,False
47641,59,Clean Tech / Renewable,False
45265,59,Consumer Goods,True
59846,59,Diversified,True
13082,59,Energy / Oil & Gas,True
52545,59,Financial Services,False
36670,59,Healthcare,False
34551,59,Industrials,True
13853,59,Leisure,False
11576,59,Manufacturing,False
3659,59,Natural Resources,False
11877,59,Other,False
11278,59,Retail,False
32606,59,TMT,True
29231,59,Transport,True
719,60,Biotech / Life Science,True
12771,60,Clean Tech / Renewable,False
10757,60,Consumer Goods,False
43834,60,Diversified,True
57316,60,Energy / Oil & Gas,False
11800,60,Financial Services,False
62515,60,Healthcare,False
27867,60,Industrials,False
4092,60,Leisure,False
21978,60,Manufacturing,False
389,60,Natural Resources,False
49187,60,Other,False
9873,60,Retail,False
12784,60,TMT,False
36926,60,Transport,False
21435,62,Biotech / Life Science,True
55890,62,Clean Tech / Renewable,True
32837,62,Consumer Goods,True
38784,62,Diversified,True
33135,62,Energy / Oil & Gas,True
15817,62,Financial Services,True
46962,62,Healthcare,True
11523,62,Industrials,True
35261,62,Leisure,False
9380,62,Manufacturing,True
61329,62,Natural Resources,True
12349,62,Other,False
63268,62,Retail,False
52384,62,TMT,True
9473,62,Transport,True
40383,64,Agribusiness,False
50954,64,Biotech / Life Science,False
45546,64,Business Services,False
47219,64,Clean Tech / Renewable,False
22524,64,Consumer Goods,False
32502,64,Diversified,True
15940,64,Energy / Oil & Gas,False
34088,64,Financial Services,False
59032,64,Healthcare,False
13851,64,Industrials,False
55613,64,Leisure,False
46886,64,Manufacturing,False
52367,64,Natural Resources,False
5152,64,Other,False
31805,64,Retail,False
21817,64,TMT,False
56356,64,Transport,False
15919,65,Biotech / Life Science,True
5534,65,Clean Tech / Renewable,True
38619,65,Consumer Goods,True
2147,65,Diversified,True
36250,65,Energy / Oil & Gas,True
11751,65,Financial Services,True
34410,65,Healthcare,True
23743,65,Industrials,False
17083,65,Leisure,False
19369,65,Manufacturing,False
18018,65,Natural Resources,True
37210,65,Other,False
11879,65,Retail,False
45105,65,TMT,True
18982,65,Transport,False
58772,66,Biotech / Life Science,True
34447,66,Clean Tech / Renewable,False
29232,66,Consumer Goods,True
35155,66,Diversified,True
10827,66,Energy / Oil & Gas,True
8594,66,Financial Services,True
63178,66,Healthcare,True
51374,66,Industrials,True
54878,66,Leisure,False
39363,66,Manufacturing,False
15251,66,Natural Resources,True
9044,66,Other,False
50568,66,Retail,True
16659,66,TMT,True
11465,66,Transport,True
60211,67,Biotech / Life Science,True
30075,67,Clean Tech / Renewable,True
20944,67,Consumer Goods,True
23316,67,Diversified,True
15656,67,Energy / Oil & Gas,True
43237,67,Financial Services,True
32853,67,Healthcare,True
60424,67,Industrials,True
15598,67,Leisure,False
22887,67,Manufacturing,False
28190,67,Natural Resources,False
10873,67,Other,True
20507,67,Retail,False
29853,67,TMT,True
4486,67,Transport,False
33177,68,Biotech / Life Science,True
37381,68,Clean Tech / Renewable,True
5027,68,Consumer Goods,True
37950,68,Diversified,True
62909,68,Energy / Oil & Gas,False
16021,68,Financial Services,True
10943,68,Healthcare,True
50435,68,Industrials,True
6548,68,Leisure,True
20061,68,Manufacturing,True
49444,68,Natural Resources,True
42183,68,Other,False
51255,68,Retail,True
29094,68,TMT,True
19621,68,Transport,True
59169,71,Biotech / Life Science,True
32755,71,Clean Tech / Renewable,True
40274,71,Consumer Goods,True
34480,71,Diversified,True
38246,71,Energy / Oil & Gas,True
36105,71,Financial Services,True
17933,71,Healthcare,True
29306,71,Industrials,True
29096,71,Leisure,False
53170,71,Manufacturing,True
61059,71,Natural Resources,False
23885,71,Other,False
31925,71,Retail,False
32375,71,TMT,True
19044,71,Transport,True
18031,72,Biotech / Life Science,True
61236,72,Clean Tech / Renewable,True
9678,72,Consumer Goods,True
29368,72,Diversified,True
57723,72,Energy / Oil & Gas,True
54952,72,Financial Services,True
25368,72,Healthcare,True
23684,72,Industrials,True
21474,72,Leisure,False
924,72,Manufacturing,True
61596,72,Natural Resources,True
61615,72,Other,False
8120,72,Retail,True
6863,72,TMT,True
34153,72,Transport,True
34825,73,Biotech / Life Science,False
62311,73,Clean Tech / Renewable,False
12235,73,Consumer Goods,False
53692,73,Diversified,True
31457,73,Energy / Oil & Gas,False
55998,73,Financial Services,False
35030,73,Healthcare,False
32811,73,Industrials,False
41879,73,Leisure,False
59512,73,Manufacturing,False
38150,73,Natural Resources,False
19449,73,Other,False
6870,73,Retail,False
22473,73,TMT,False
21498,73,Transport,False
32995,74,Biotech / Life Science,False
53762,74,Clean Tech / Renewable,False
59307,74,Consumer Goods,True
40414,74,Diversified,True
6211,74,Energy / Oil & Gas,True
14392,74,Financial Services,False
28003,74,Healthcare,True
13631,74,Industrials,True
28763,74,Leisure,False
48038,74,Manufacturing,False
63543,74,Natural Resources,False
54500,74,Other,False
27743,74,Retail,False
54434,74,TMT,True
5477,74,Transport,False
63784,75,Biotech / Life Science,False
15111,75,Business Services,False
4584,75,Clean Tech / Renewable,False
60523,75,Consumer Goods,True
60999,75,Diversified,True
57468,75,Energy / Oil & Gas,True
24257,75,Financial Services,False
11945,75,Healthcare,False
14945,75,Industrials,True
1503,75,Leisure,False
42960,75,Manufacturing,True
36974,75,Natural Resources,False
51190,75,Other,False
45882,75,Retail,False
21608,75,TMT,True
5853,75,Transport,False
10474,76,Biotech / Life Science,False
5646,76,Clean Tech / Renewable,True
50366,76,Consumer Goods,True
39608,76,Diversified,True
8803,76,Energy / Oil & Gas,True
50732,76,Financial Services,False
33991,76,Healthcare,True
5103,76,Industrials,False
21394,76,Leisure,False
35005,76,Manufacturing,False
29970,76,Natural Resources,True
40971,76,Other,True
54076,76,Retail,False
37528,76,TMT,True
53101,76,Transport,False
16976,78,Biotech / Life Science,False
40220,78,Clean Tech / Renewable,False
43247,78,Consumer Goods,False
44072,78,Diversified,True
38161,78,Energy / Oil & Gas,False
42381,78,Financial Services,False
2552,78,Healthcare,False
21866,78,Industrials,False
8665,78,Leisure,False
13296,78,Manufacturing,False
63090,78,Natural Resources,False
43173,78,Other,False
57867,78,Retail,False
41400,78,TMT,False
59072,78,Transport,False
6298,81,Biotech / Life Science,True
1008,81,Clean Tech / Renewable,True
30801,81,Consumer Goods,True
27394,81,Diversified,True
44032,81,Energy / Oil & Gas,True
36232,81,Financial Services,True
33829,81,Healthcare,True
56964,81,Industrials,True
57335,81,Leisure,True
49238,81,Manufacturing,False
37763,81,Natural Resources,True
15306,81,Other,False
61866,81,Retail,True
15160,81,TMT,True
18861,81,Transport,True
46389,82,Biotech / Life Science,False
27064,82,Clean Tech / Renewable,True
35298,82,Consumer Goods,True
44120,82,Diversified,True
15436,82,Energy / Oil & Gas,True
18308,82,Financial Services,False
17451,82,Healthcare,True
5587,82,Industrials,False
17607,82,Leisure,False
63588,82,Manufacturing,False
33967,82,Natural Resources,True
60120,82,Other,False
26965,82,Retail,False
19572,82,TMT,True
1232,82,Transport,False
23427,83,Biotech / Life Science,True
14508,83,Clean Tech / Renewable,True
3492,83,Consumer Goods,True
24691,83,Diversified,True
10722,83,Energy / Oil & Gas,True
29656,83,Financial Services,True
58090,83,Healthcare,True
19786,83,Industrials,True
26571,83,Leisure,False
44664,83,Manufacturing,False
45780,83,Natural Resources,False
59983,83,Other,True
33354,83,Retail,False
56073,83,TMT,True
46144,83,Transport,False
33966,84,Biotech / Life Science,True
35968,84,Clean Tech / Renewable,True
49066,84,Consumer Goods,True
17786,84,Diversified,True
12524,84,Energy / Oil & Gas,False
57049,84,Financial Services,True
20955,84,Healthcare,True
7311,84,Industrials,True
27695,84,Leisure,True
48863,84,Manufacturing,True
37510,84,Natural Resources,True
15616,84,Other,True
52689,84,Retail,True
14535,84,TMT,True
34671,84,Transport,True
41973,85,Biotech / Life Science,True
8669,85,Clean Tech / Renewable,True
37740,85,Consumer Goods,True
30469,85,Diversified,True
2639,85,Energy / Oil & Gas,True
52559,85,Financial Services,True
12115,85,Healthcare,True
1630,85,Industrials,True
29082,85,Leisure,True
53042,85,Manufacturing,True
5908,85,Natural Resources,True
63589,85,Other,True
9438,85,Retail,True
13237,85,TMT,True
63053,85,Transport,True
61275,86,Biotech / Life Science,False
59230,86,Clean Tech / Renewable,False
47190,86,Consumer Goods,False
10334,86,Diversified,True
19636,86,Energy / Oil & Gas,False
11438,86,Financial Services,False
52372,86,Healthcare,False
54923,86,Industrials,False
34383,86,Leisure,False
2355,86,Manufacturing,False
46504,86,Natural Resources,False
41564,86,Other,False
59579,86,Retail,False
55345,86,TMT,True
51234,86,Transport,False
59841,87,Biotech / Life Science,True
11957,87,Clean Tech / Renewable,False
36485,87,Consumer Goods,True
20687,87,Diversified,True
56948,87,Energy / Oil & Gas,True
5412,87,Financial Services,True
40593,87,Healthcare,True
10951,87,Industrials,True
7870,87,Leisure,True
30227,87,Manufacturing,True
22291,87,Natural Resources,False
32173,87,Other,True
29642,87,Retail,True
48403,87,TMT,True
56102,87,Transport,True
29264,89,Biotech / Life Science,False
61703,89,Clean Tech / Renewable,True
21955,89,Consumer Goods,True
35608,89,Diversified,True
12156,89,Energy / Oil & Gas,True
34491,89,Financial Services,True
25694,89,Healthcare,True
38778,89,Industrials,False
62666,89,Leisure,False
38051,89,Manufacturing,False
52587,89,Natural Resources,True
9701,89,Other,False
31013,89,Retail,False
54593,89,TMT,True
37230,89,Transport,False
27611,90,Biotech / Life Science,True
17690,90,Clean Tech / Renewable,True
1516,90,Consumer Goods,True
45076,90,Diversified,True
46355,90,Energy / Oil & Gas,True
48797,90,Financial Services,True
36486,90,Healthcare,True
45004,90,Industrials,True
32961,90,Leisure,True
61669,90,Manufacturing,False
3529,90,Natural Resources,False
6183,90,Other,False
593,90,Retail,True
50150,90,TMT,True
51598,90,Transport,True
35940,91,Biotech / Life Science,True
46700,91,Clean Tech / Renewable,True
8072,91,Consumer Goods,True
26111,91,Diversified,True
49450,91,Energy / Oil & Gas,True
6925,91,Financial Services,True
58106,91,Healthcare,True
125,91,Industrials,True
49327,91,Leisure,False
32264,91,Manufacturing,True
50842,91,Natural Resources,True
7558,91,Other,False
22248,91,Retail,True
45648,91,TMT,True
3957,91,Transport,True
44580,92,Biotech / Life Science,False
60334,92,Clean Tech / Renewable,True
23658,92,Consumer Goods,True
11895,92,Diversified,True
48351,92,Energy / Oil & Gas,True
347,92,Financial Services,False
45379,92,Healthcare,True
8738,92,Industrials,True
56734,92,Leisure,False
12146,92,Manufacturing,False
59683,92,Natural Resources,True
46465,92,Other,False
7090,92,Retail,True
49339,92,TMT,True
4003,92,Transport,False
11355,93,Biotech / Life Science,True
39751,93,Clean Tech / Renewable,True
39269,93,Consumer Goods,True
13750,93,Diversified,True
3107,93,Energy / Oil & Gas,True
4088,93,Financial Services,True
16577,93,Healthcare,True
23200,93,Industrials,True
17618,93,Leisure,True
50693,93,Manufacturing,True
38612,93,Natural Resources,True
34422,93,Other,False
4706,93,Retail,True
11908,93,TMT,True
8943,93,Transport,True
63196,94,Biotech / Life Science,True
33352,94,Clean Tech / Renewable,False
60984,94,Consumer Goods,True
19835,94,Diversified,True
17284,94,Energy / Oil & Gas,False
38898,94,Financial Services,False
27257,94,Healthcare,True
16418,94,Industrials,False
14921,94,Leisure,False
10728,94,Manufacturing,True
42392,94,Natural Resources,False
46320,94,Other,False
616,94,Retail,False
13774,94,TMT,False
61327,94,Transport,False
24383,95,Biotech / Life Science,False
9142,95,Clean Tech / Renewable,False
22961,95,Consumer Goods,False
12834,95,Diversified,True
45217,95,Energy / Oil & Gas,True
40662,95,Financial Services,False
12159,95,Healthcare,True
35585,95,Industrials,False
14493,95,Leisure,False
5406,95,Manufacturing,False
5915,95,Natural Resources,False
33200,95,Other,False
16076,95,Retail,False
36825,95,TMT,True
47316,95,Transport,False
46815,96,Biotech / Life Science,False
14974,96,Clean Tech / Renewable,True
40599,96,Consumer Goods,True
20224,96,Diversified,True
59970,96,Energy / Oil & Gas,True
17244,96,Financial Services,True
61703,96,Healthcare,True
60211,96,Industrials,True
43462,96,Leisure,False
9914,96,Manufacturing,False
43372,96,Natural Resources,True
7633,96,Other,False
23590,96,Retail,True
4408,96,TMT,True
20424,96,Transport,False
9328,97,Biotech / Life Science,False
7750,97,Clean Tech / Renewable,False
49851,97,Consumer Goods,False
3816,97,Diversified,True
27696,97,Energy / Oil & Gas,False
11378,97,Financial Services,False
21635,97,Healthcare,False
33229,97,Industrials,False
18665,97,Leisure,False
47023,97,Manufacturing,False
57114,97,Natural Resources,False
28118,97,Other,False
24905,97,Retail,False
60428,97,TMT,False
16169,97,Transport,False
31412,98,Biotech / Life Science,True
32205,98,Clean Tech / Renewable,False
29107,98,Consumer Goods,False
34520,98,Diversified,True
26848,98,Energy / Oil & Gas,False
3896,98,Financial Services,True
23180,98,Healthcare,True
21326,98,Industrials,True
752,98,Leisure,False
29114,98,Manufacturing,False
43138,98,Natural Resources,False
20097,98,Other,True
31153,98,Retail,False
34250,98,TMT,True
50227,98,Transport,False
16029,99,Biotech / Life Science,False
38561,99,Clean Tech / Renewable,False
172,99,Consumer Goods,False
58474,99,Diversified,True
28650,99,Energy / Oil & Gas,True
13212,99,Financial Services,True
30268,99,Healthcare,True
63419,99,Industrials,True
11580,99,Leisure,False
17179,99,Manufacturing,False
10221,99,Natural Resources,False
58345,99,Other,False
25345,99,Retail,True
49027,99,TMT,False
40344,99,Transport,True
13152,100,Biotech / Life Science,True
2255,100,Clean Tech / Renewable,True
17046,100,Consumer Goods,True
20485,100,Diversified,True
9664,100,Energy / Oil & Gas,False
5089,100,Financial Services,False
2686,100,Healthcare,True
17304,100,Industrials,True
37486,100,Leisure,False
55304,100,Manufacturing,False
4085,100,Natural Resources,False
53797,100,Other,False
62964,100,Retail,False
53606,100,TMT,False
61983,100,Transport,False
